PassageID,LineNum,PartA,PartB,PartC,PartD,CorrectAnswer,Explanation
Story_04_LostPuppy,9,He came,to me,and licked,my hand.,N,No error.
Story_04_LostPuppy,10,I took,him home,to my,mum.,D,Capitalization error in Part D: 'mum' should be 'Mum' (used as a proper name here).
Story_04_LostPuppy,11,We gave,"him some,",food and,water.,B,"Extra comma inserted in Part B: 'some,'."
Story_04_LostPuppy,12,We found,his owner,the next,day,D,Missing full stop in Part D: 'day' should be 'day.'.
Story_05_BakingCake,1,We decided,to bake,a cake,today.,N,No error.
Story_05_BakingCake,2,Mum got,the big,Bowl,out.,C,Capitalization error in Part C: 'Bowl' should be 'bowl'.
Story_05_BakingCake,3,Mix the,butter and,sugar',she said.,C,"Missing comma in Part C: 'sugar'' should be 'sugar,'."
Story_05_BakingCake,4,I stirred,"it very,",hard with,a spoon.,B,"Extra comma inserted in Part B: 'very,'."
Story_05_BakingCake,5,It was,hard work,for my,arm,D,Missing full stop in Part D: 'arm' should be 'arm.'.
Story_05_BakingCake,6,Next we,added eggs,and,flour.,A,"Missing comma in Part A: 'Next' should be 'Next,'."
Story_05_BakingCake,7,Dont make,a mess',warned,Mum.,A,Apostrophe error in Part A: 'Dont' should be 'Don't'.
Story_05_BakingCake,8,i spilled,some flour,on the,floor.,A,Capitalization error in Part A: 'i' should be 'I'.
Story_05_BakingCake,9,"Oops, sorry'",I said,cleaning,it up.,N,No error.
Story_05_BakingCake,10,We put,the mixture,in the,oven.,N,No error.
Story_05_BakingCake,11,It smelled,"delicious,",while it,cooked.,B,"Extra comma inserted in Part B: 'delicious,'."
Story_05_BakingCake,12,We ate,it for,tea,later,D,Missing full stop in Part D: 'later' should be 'later.'.
Story_06_MagicShow,1,The magician,wore a,"long, black",cape.,N,No error.
Story_06_MagicShow,2,He stood,on the,stage,smiling,D,Missing full stop in Part D: 'smiling' should be 'smiling.'.
Story_06_MagicShow,3,Watch this,trick' he,said to,us.,B,"Missing comma in Part B: 'trick'' should be 'trick,'."
Story_06_MagicShow,4,He held,a top,hat in,his hand.,N,No error.
Story_06_MagicShow,5,He waved,"his wand,",over the,hat.,B,"Extra comma inserted in Part B: 'wand,'."
Story_06_MagicShow,6,Abracadabra',he shouted,very,loudly.,A,Missing exclamation mark in Part A: 'Abracadabra'' should be 'Abracadabra!'.
Story_06_MagicShow,7,A white,Rabbit,jumped,out.,B,Capitalization error in Part B: 'Rabbit' should be 'rabbit'.
Story_06_MagicShow,8,Wow',shouted,the,crowd.,A,Missing exclamation mark in Part A: 'Wow'' should be 'Wow!'.
Story_06_MagicShow,9,The rabbit,wiggled,it's pink,nose.,C,Apostrophe error in Part C: 'it's' should be 'its'.
Story_06_MagicShow,10,It was,very cute,and,fluffy.,N,No error.
Story_06_MagicShow,11,The magician,bowed,to the,people,D,Missing full stop in Part D: 'people' should be 'people.'.
Story_06_MagicShow,12,it was,a great,magic,show.,A,Capitalization error in Part A: 'it' should be 'It'.
Story_07_RainyDay,1,Rain fell,"heavily, against",the,window.,B,"Extra comma inserted in Part B: 'heavily,'."
Story_07_RainyDay,2,The sky,was grey,and,gloomy,D,Missing full stop in Part D: 'gloomy' should be 'gloomy.'.
Story_07_RainyDay,3,I am,bored',said,Tom.,B,"Missing comma in Part B: 'bored'' should be 'bored,'."
Story_07_RainyDay,4,Lets play,a game',I,suggested.,A,Apostrophe error in Part A: 'Lets' should be 'Let's'.
Story_07_RainyDay,5,We got,out the,board,games.,N,No error.
Story_07_RainyDay,6,We played,snakes and,Ladders,first.,C,Capitalization error in Part C: 'Ladders' should be 'ladders'.
Story_07_RainyDay,7,I rolled,the dice,and moved,my piece.,N,No error.
Story_07_RainyDay,8,Tom landed,on a,"snake,",head.,C,"Extra comma inserted in Part C: 'snake,'."
Story_07_RainyDay,9,Oh no',he cried,sliding,down.,A,Missing exclamation mark in Part A: 'no'' should be 'no!'.
Story_07_RainyDay,10,I won,the game,in the,end,D,Missing full stop in Part D: 'end' should be 'end.'.
Story_07_RainyDay,11,Mum made,"us, some",hot,cocoa.,B,"Extra comma inserted in Part B: 'us,'."
Story_07_RainyDay,12,It was,a fun,"afternoon,",inside.,C,"Extra comma inserted in Part C: 'afternoon,'."
Story_08_FootballMatch,1,The football,match was,about to,start.,N,No error.
Story_08_FootballMatch,2,Our team,wore red,shirts,today,D,Missing full stop in Part D: 'today' should be 'today.'.
Story_08_FootballMatch,3,The referee,"blew his,",whistle,loudly.,B,"Extra comma inserted in Part B: 'his,'."
Story_08_FootballMatch,4,Pass the,ball',shouted,Sam.,B,Missing exclamation mark in Part B: 'ball'' should be 'ball!'.
Story_08_FootballMatch,5,i kicked,it hard,down the,pitch.,A,Capitalization error in Part A: 'i' should be 'I'.
Story_08_FootballMatch,6,It went,straight to,"my,",friend.,C,"Extra comma inserted in Part C: 'my,'."
Story_08_FootballMatch,7,He ran,towards,The,goal.,C,Capitalization error in Part C: 'The' should be 'the'.
Story_08_FootballMatch,8,The goalie,dived,but missed,it.,N,No error.
Story_08_FootballMatch,9,We scored',we all,cheered,loudly.,A,Missing exclamation mark in Part A: 'scored'' should be 'scored!'.
Story_08_FootballMatch,10,The crowd,clapped,their,hands,D,Missing full stop in Part D: 'hands' should be 'hands.'.
Story_08_FootballMatch,11,We won,"the game,",two,nil.,B,"Extra comma inserted in Part B: 'game,'."
Story_08_FootballMatch,12,It was,a great,victory,for us,D,Missing full stop in Part D: 'us' should be 'us.'.
Story_09_ZooVisit,1,We visited,the zoo,on,Sunday.,N,No error.
Story_09_ZooVisit,2,The sun,was hot,in the,sky,D,Missing full stop in Part D: 'sky' should be 'sky.'.
Story_09_ZooVisit,3,Look at,the lions',said,Ella.,B,Missing exclamation mark in Part B: 'lions'' should be 'lions!'.
Story_09_ZooVisit,4,They were,sleeping,"under, a",tree.,C,"Extra comma inserted in Part C: 'under,'."
Story_09_ZooVisit,5,One lion,Opened,one,eye.,B,Capitalization error in Part B: 'Opened' should be 'opened'.
Story_09_ZooVisit,6,He let,out a,"big,",roar.,C,"Extra comma inserted in Part C: 'big,'."
Story_09_ZooVisit,7,I am,scared',said,Ella.,B,"Missing comma in Part B: 'scared'' should be 'scared,'."
Story_09_ZooVisit,8,we walked,to the,monkey,cage.,A,Capitalization error in Part A: 'we' should be 'We'.
Story_09_ZooVisit,9,The monkeys,were playing,games,happily.,N,No error.
Story_09_ZooVisit,10,One was,"eating, a",yellow,banana.,B,"Extra comma inserted in Part B: 'eating,'."
Story_09_ZooVisit,11,We had,lunch,at the,cafe,D,Missing full stop in Part D: 'cafe' should be 'cafe.'.
Story_09_ZooVisit,12,"It was,",a lovely,day,out.,A,"Extra comma inserted in Part A: 'was,'."
Story_10_Treehouse,1,Dad built,a treehouse,in the,garden.,N,No error.
Story_10_Treehouse,2,It was,high up,in the,oak tree,D,Missing full stop in Part D: 'tree' should be 'tree.'.
Story_10_Treehouse,3,Can I,go up',asked,Tom.,B,Missing question mark in Part B: 'up'' should be 'up?'.
Story_10_Treehouse,4,Yes but,be careful',said,Dad.,A,"Missing comma in Part A: 'Yes' should be 'Yes,'."
Story_10_Treehouse,5,Tom climbed,the rope,"ladder,",slowly.,C,"Extra comma inserted in Part C: 'ladder,'."
Story_10_Treehouse,6,He looked,"out of,",the small,window.,B,"Extra comma inserted in Part B: 'of,'."
Story_10_Treehouse,7,He could,see the,whole,garden.,N,No error.
Story_10_Treehouse,8,birds flew,past him,in the,air.,A,Capitalization error in Part A: 'birds' should be 'Birds'.
Story_10_Treehouse,9,This is,amazing',he,shouted.,B,Missing exclamation mark in Part B: 'amazing'' should be 'amazing!'.
Story_10_Treehouse,10,Dad passed,up some,sandwiches,and Juice.,D,Capitalization error in Part D: 'Juice' should be 'juice'.
Story_10_Treehouse,11,They had,a picnic,in the,tree,D,Missing full stop in Part D: 'tree' should be 'tree.'.
Story_10_Treehouse,12,It was,"the best,",den,ever.,B,"Extra comma inserted in Part B: 'best,'."
Story_11_Snowman,1,Snow covered,the ground,completely,today,D,Missing full stop in Part D: 'today' should be 'today.'.
Story_11_Snowman,2,It was,cold and,"very,",white.,C,"Extra comma inserted in Part C: 'very,'."
Story_11_Snowman,3,Lets build,a snowman',said,Mia.,A,Apostrophe error in Part A: 'Lets' should be 'Let's'.
Story_11_Snowman,4,We rolled,a big,ball of,snow.,N,No error.
Story_11_Snowman,5,It was,"heavy,",to,push.,B,"Extra comma inserted in Part B: 'heavy,'."
Story_11_Snowman,6,we made,a smaller,ball for,the head.,A,Capitalization error in Part A: 'we' should be 'We'.
Story_11_Snowman,7,We used,"stones,",for his,eyes.,B,"Extra comma inserted in Part B: 'stones,'."
Story_11_Snowman,8,He needs,a nose',said,Mia.,B,"Missing comma in Part B: 'nose'' should be 'nose,'."
Story_11_Snowman,9,I got,a carrot,from the,kitchen.,N,No error.
Story_11_Snowman,10,He looked,very,Funny,indeed.,C,Capitalization error in Part C: 'Funny' should be 'funny'.
Story_11_Snowman,11,We gave,him a,hat and,scarf,D,Missing full stop in Part D: 'scarf' should be 'scarf.'.
Story_11_Snowman,12,The sun,"began,",to,set.,B,"Extra comma inserted in Part B: 'began,'."
Story_12_Camping,1,We went,camping,in the,woods.,N,No error.
Story_12_Camping,2,Dad put,up the,Green,tent.,C,Capitalization error in Part C: 'Green' should be 'green'.
Story_12_Camping,3,Help me',he asked,my,brother.,A,"Missing comma in Part A: 'me'' should be 'me,'."
Story_12_Camping,4,They hammered,the pegs,in,hard,D,Missing full stop in Part D: 'hard' should be 'hard.'.
Story_12_Camping,5,We gathered,wood for,"a,",fire.,C,"Extra comma inserted in Part C: 'a,'."
Story_12_Camping,6,it burned,brightly,in the,dark.,A,Capitalization error in Part A: 'it' should be 'It'.
Story_12_Camping,7,I am,hungry',said,Sam.,B,"Missing comma in Part B: 'hungry'' should be 'hungry,'."
Story_12_Camping,8,We cooked,"sausages,",on the,fire.,B,"Extra comma inserted in Part B: 'sausages,'."
Story_12_Camping,9,They tasted,smoky,and,good.,N,No error.
Story_12_Camping,10,Owls hooted,"loudly, in",the,trees.,B,"Extra comma inserted in Part B: 'loudly,'."
Story_12_Camping,11,We slept,in our,warm,bags,D,Missing full stop in Part D: 'bags' should be 'bags.'.
Story_12_Camping,12,It was,"a fun,",adventure,trip.,B,"Extra comma inserted in Part B: 'fun,'."
Story_13_Library,1,I went,to the,library,today.,N,No error.
Story_13_Library,2,It was,very quiet,"inside,",there.,C,"Extra comma inserted in Part C: 'inside,'."
Story_13_Library,3,Where are,the books',I,asked.,B,Missing question mark in Part B: 'books'' should be 'books?'.
Story_13_Library,4,The lady,pointed to,"a,",shelf.,C,"Extra comma inserted in Part C: 'a,'."
Story_13_Library,5,I found,a book,about,space,D,Missing full stop in Part D: 'space' should be 'space.'.
Story_13_Library,6,it had,pictures,of,planets.,A,Capitalization error in Part A: 'it' should be 'It'.
Story_13_Library,7,This looks,good',I,thought.,B,"Missing comma in Part B: 'good'' should be 'good,'."
Story_13_Library,8,I sat,"on a,",chair to,read.,B,"Extra comma inserted in Part B: 'a,'."
Story_13_Library,9,The book,was very,"interesting,",indeed.,C,"Extra comma inserted in Part C: 'interesting,'."
Story_13_Library,10,I read,it all,morning,long,D,Missing full stop in Part D: 'long' should be 'long.'.
Story_13_Library,11,Can I,borrow it',I,asked.,B,Missing question mark in Part B: 'it'' should be 'it?'.
Story_13_Library,12,I took,it home,in my,bag.,N,No error.
Story_14_NewBike,1,I got,a new,bike,yesterday.,N,No error.
Story_14_NewBike,2,It is,shiny,"and,",red.,C,"Extra comma inserted in Part C: 'and,'."
Story_14_NewBike,3,Put your,helmet on',said,Mum.,B,Missing exclamation mark in Part B: 'on'' should be 'on!'.
Story_14_NewBike,4,I rode,it down,the,path,D,Missing full stop in Part D: 'path' should be 'path.'.
Story_14_NewBike,5,the wind,blew in,my,hair.,A,Capitalization error in Part A: 'the' should be 'The'.
Story_14_NewBike,6,Look at,me',I,shouted.,B,Missing exclamation mark in Part B: 'me'' should be 'me!'.
Story_14_NewBike,7,I went,"very fast,",down the,hill.,B,"Extra comma inserted in Part B: 'fast,'."
Story_14_NewBike,8,A dog,ran out,in Front,of me.,C,Capitalization error in Part C: 'Front' should be 'front'.
Story_14_NewBike,9,I stopped,the bike,quickly,just in time,D,Missing full stop in Part D: 'time' should be 'time.'.
Story_14_NewBike,10,That was,close',said,Mum.,A,"Missing comma in Part A: 'That' should be '""That'."
Story_14_NewBike,11,I was,safe,and,happy.,N,No error.
Story_14_NewBike,12,I love,"riding,",my new,bike.,B,"Extra comma inserted in Part B: 'riding,'."
Story_15_Picnic,1,We had,a picnic,in the,park.,N,No error.
Story_15_Picnic,2,The grass,was green,and,soft,D,Missing full stop in Part D: 'soft' should be 'soft.'.
Story_15_Picnic,3,Mum opened,"the big,",basket,slowly.,B,"Extra comma inserted in Part B: 'big,'."
Story_15_Picnic,4,I am,starving',said,Tom.,B,Missing exclamation mark in Part B: 'starving'' should be 'starving!'.
Story_15_Picnic,5,we ate,sandwiches,and,crisps.,A,Capitalization error in Part A: 'we' should be 'We'.
Story_15_Picnic,6,A wasp,"flew near,",our,food.,B,"Extra comma inserted in Part B: 'near,'."
Story_15_Picnic,7,Go away',shouted,Dad,loudly.,A,Missing exclamation mark in Part A: 'away'' should be 'away!'.
Story_15_Picnic,8,The wasp,flew,"away,",fast.,C,"Extra comma inserted in Part C: 'away,'."
Story_15_Picnic,9,We played,ball on,the,grass.,N,No error.
Story_15_Picnic,10,It was,a sunny,Day,out.,C,Capitalization error in Part C: 'Day' should be 'day'.
Story_15_Picnic,11,We had,lots of,fun,together,D,Missing full stop in Part D: 'together' should be 'together.'.
Story_15_Picnic,12,We went,"home,",tired but,happy.,B,"Extra comma inserted in Part B: 'home,'."
Story_16_SchoolPlay,1,The school,play was,tonight,at six,D,Missing full stop in Part D: 'six' should be 'six.'.
Story_16_SchoolPlay,2,I was,dressed,"as a,",king.,C,"Extra comma inserted in Part C: 'a,'."
Story_16_SchoolPlay,3,You look,great',said,Mum.,B,Missing exclamation mark in Part B: 'great'' should be 'great!'.
Story_16_SchoolPlay,4,I felt,"nervous,",about,it.,B,"Extra comma inserted in Part B: 'nervous,'."
Story_16_SchoolPlay,5,The curtains,opened,wide,slowly.,N,No error.
Story_16_SchoolPlay,6,the lights,were very,bright,indeed.,A,Capitalization error in Part A: 'the' should be 'The'.
Story_16_SchoolPlay,7,I said,my lines,"clearly,",and loud.,C,"Extra comma inserted in Part C: 'clearly,'."
Story_16_SchoolPlay,8,Everyone,clapped,their,hands,D,Missing full stop in Part D: 'hands' should be 'hands.'.
Story_16_SchoolPlay,9,Well done',shouted,my,Dad.,A,Missing exclamation mark in Part A: 'done'' should be 'done!'.
Story_16_SchoolPlay,10,I felt,"very,",proud,inside.,B,"Extra comma inserted in Part B: 'very,'."
Story_16_SchoolPlay,11,We had,cake,After the,show.,C,Capitalization error in Part C: 'After' should be 'after'.
Story_16_SchoolPlay,12,It was,a special,night,for me.,N,No error.
Story_17_Fishing,1,Dad took,me fishing,at the,lake.,N,No error.
Story_17_Fishing,2,We sat,on the,bank,quietly,D,Missing full stop in Part D: 'quietly' should be 'quietly.'.
Story_17_Fishing,3,Hold the,rod',he,said.,A,"Missing punctuation in Part A: 'Hold' should be '""Hold'."
Story_17_Fishing,4,I waited,for a,"long,",time.,C,"Extra comma inserted in Part C: 'long,'."
Story_17_Fishing,5,Nothing,"happened,",at,all.,B,"Extra comma inserted in Part B: 'happened,'."
Story_17_Fishing,6,Be patient',said,Dad,softly.,A,"Missing punctuation in Part A: 'patient'' should be 'patient,""'."
Story_17_Fishing,7,suddenly,the float,went,under.,A,Capitalization error in Part A: 'suddenly' should be 'Suddenly'.
Story_17_Fishing,8,I have,one',I,shouted.,B,Missing exclamation mark in Part B: 'one'' should be 'one!'.
Story_17_Fishing,9,I pulled,the fish,in,fast.,N,No error.
Story_17_Fishing,10,It was,"silver,",and,shiny.,B,"Extra comma inserted in Part B: 'silver,'."
Story_17_Fishing,11,We put,it back,in the,water,D,Missing full stop in Part D: 'water' should be 'water.'.
Story_17_Fishing,12,It swam,"away,",very,quickly.,C,"Extra comma inserted in Part C: 'away,'."
Story_18_SkatePark,1,I went,to the,skate,park.,N,No error.
Story_18_SkatePark,2,I took,my new,skateboard,there,D,Missing full stop in Part D: 'there' should be 'there.'.
Story_18_SkatePark,3,Watch this',I said,to,Ben.,A,Missing exclamation mark in Part A: 'this'' should be 'this!'.
Story_18_SkatePark,4,I went,down the,Ramp,fast.,C,Capitalization error in Part C: 'Ramp' should be 'ramp'.
Story_18_SkatePark,5,The wind,"rushed,",past my,ears.,B,"Extra comma inserted in Part B: 'rushed,'."
Story_18_SkatePark,6,I jumped,into the,"air,",high.,C,"Extra comma inserted in Part C: 'air,'."
Story_18_SkatePark,7,Wow',shouted,Ben,loudly.,A,Missing exclamation mark in Part A: 'Wow'' should be 'Wow!'.
Story_18_SkatePark,8,I landed,on the,wheels,safely.,N,No error.
Story_18_SkatePark,9,That was,cool',said,Ben.,B,"Missing comma in Part B: 'cool'' should be 'cool,'."
Story_18_SkatePark,10,We skated,"until,",it got,dark.,B,"Extra comma inserted in Part B: 'until,'."
Story_18_SkatePark,11,We went,home,For,tea.,C,Capitalization error in Part C: 'For' should be 'for'.
Story_18_SkatePark,12,It was,a good,day,out,D,Missing full stop in Part D: 'out' should be 'out.'.
Story_19_Birthday,1,It was,my birthday,on,Monday.,N,No error.
Story_19_Birthday,2,I woke,up very,early,today,D,Missing full stop in Part D: 'today' should be 'today.'.
Story_19_Birthday,3,Happy,birthday',said,Mum.,B,Missing exclamation mark in Part B: 'birthday'' should be 'birthday!'.
Story_19_Birthday,4,She gave,me a,"big,",box.,C,"Extra comma inserted in Part C: 'big,'."
Story_19_Birthday,5,I tore,"the paper,",off,quickly.,B,"Extra comma inserted in Part B: 'paper,'."
Story_19_Birthday,6,Inside,was a,new,robot.,A,"Capitalization error in Part A: 'Inside' should be 'inside' (part of previous sentence? No, new sentence. But line 5 ends with quickly. 'Inside' should be Cap. Wait, the error explanation says A. Let's make A lowercase)."
Story_19_Birthday,6,inside,was a,new,robot.,A,Capitalization error in Part A: 'inside' should be 'Inside'.
Story_19_Birthday,7,I love,it',I,cried.,B,Missing exclamation mark in Part B: 'it'' should be 'it!'.
Story_19_Birthday,8,We had,a party,"later,",that day.,C,"Extra comma inserted in Part C: 'later,'."
Story_19_Birthday,9,My friends,came to,play,games.,N,No error.
Story_19_Birthday,10,We ate,"lots of,",sweet,cake.,B,"Extra comma inserted in Part B: 'of,'."
Story_19_Birthday,11,It was,the best,day,ever,D,Missing full stop in Part D: 'ever' should be 'ever.'.
Story_19_Birthday,12,I was,"tired,",but,happy.,B,"Extra comma inserted in Part B: 'tired,'."
Story_20_ForestWalk,1,We went,for a,walk,today.,N,No error.
Story_20_ForestWalk,2,The trees,were tall,and,green,D,Missing full stop in Part D: 'green' should be 'green.'.
Story_20_ForestWalk,3,Look at,that',said,Amy.,B,Missing exclamation mark in Part B: 'that'' should be 'that!'.
Story_20_ForestWalk,4,A squirrel,ran up,"a,",tree.,C,"Extra comma inserted in Part C: 'a,'."
Story_20_ForestWalk,5,It had,"a bushy,",tail,behind.,B,"Extra comma inserted in Part B: 'bushy,'."
Story_20_ForestWalk,6,we walked,along the,muddy,path.,A,Capitalization error in Part A: 'we' should be 'We'.
Story_20_ForestWalk,7,Be careful',said,Dad,warned.,A,"Missing punctuation in Part A: 'careful'' should be 'careful,' (and delete 'said' or 'warned' to make grammar sense? No, 'said Dad warned' is clumsy. Text should be '''Be careful'' Dad warned.' Error is missing comma in A)."
Story_20_ForestWalk,7,Be careful',Dad,warned.,(removed 'said' to fix grammar),A,"Missing comma in Part A: 'careful'' should be 'careful,'."
Story_20_ForestWalk,8,I slipped,on the,Wet,mud.,C,Capitalization error in Part C: 'Wet' should be 'wet'.
Story_20_ForestWalk,9,I got,"mud on,",my,jeans.,B,"Extra comma inserted in Part B: 'on,'."
Story_20_ForestWalk,10,Dad helped,me up,straight,away.,N,No error.
Story_20_ForestWalk,11,We went,back to,the,car,D,Missing full stop in Part D: 'car' should be 'car.'.
Story_20_ForestWalk,12,It was,"a nice,",walk,though.,B,"Extra comma inserted in Part B: 'nice,'."
Story_22_OldBarn,1,"The old, barn",stood at,the edge,of the field.,A,"Extra comma inserted in Part A: 'old, barn'."
Story_22_OldBarn,2,Its roof,was full,of holes,and moss,D,Missing full stop in Part D: 'moss' should be 'moss.'.
Story_22_OldBarn,3,Don't go,in there',warned,Farmer Giles.,B,"Missing comma in Part B: 'there'' should be 'there,'."
Story_22_OldBarn,4,We ignored,him and,"crept,",inside.,C,"Extra comma inserted in Part C: 'crept,'."
Story_22_OldBarn,5,It was,dark and,smelled of,old hay.,N,No error.
Story_22_OldBarn,6,suddenly,an owl,swooped,down.,A,Capitalization error in Part A: 'suddenly' should be 'Suddenly'.
Story_22_OldBarn,7,Watch out',screamed,Ben,loudly.,A,Missing exclamation mark in Part A: 'out'' should be 'out!'.
