Passage Title,Question ID,Sentence Context,Option A,Option B,Option C,Option D,Option E,Correct Answer
The Hidden Valley,8,"Above them, a creature with a wingspan of ten feet glided (8) on the thermal currents.","effort","effortless","effortlessly","efforts","effect",C
The Hidden Valley,9,"It was a pterodactyl, a relic of the prehistoric age, hunting for its next (9).","meal","mealed","mealing","meals","mealy",A
The Hidden Valley,10,"The explorers realised they were not merely observers, but potentially (10) in a land of predators.","prey","prayed","prayer","preying","predator",A
The Hidden Valley,11,"They needed to find shelter immediately, before the sun set and the true (11) of the valley emerged.","danger","dangerous","dangerously","endanger","dangers",E
The Hidden Valley,12,"Retreating to a small cave, they set up camp, their excitement tempered by a growing sense of (12).","uneasy","unease","easily","ease","easier",B
A Midnight Heist,1,"The thief, dressed entirely in black, waited in the shadows until the guard had (1) the corner of the building.","turn","turned","turning","turns","turner",B
A Midnight Heist,2,"With the agility of a cat, he scaled the high wall, avoiding the razor wire that (2) the perimeter.","line","lined","lining","lines","liner",B
A Midnight Heist,3,"He dropped silently onto the grass, pausing only to check that his presence had gone (3).","detect","detected","detecting","undetected","detective",D
A Midnight Heist,4,"The museum windows were alarmed, but he had purchased a device designed to (4) the electronic signal.","block","blocked","blocking","blocks","blockage",A
A Midnight Heist,5,"Attaching the suction cup to the glass, he cut a perfect circle and removed the pane with (5) precision.","surgical","surgeon","surgery","surgically","surge",A
A Midnight Heist,6,"Inside, the air was cool and smelled of polish; statues loomed in the darkness like (6) sentinels.","ghost","ghostly","ghosting","ghosts","ghosted",B
A Midnight Heist,7,"His target was the Star of India, a diamond rumoured to be (7) millions on the black market.","worth","worthy","worthiness","worthless","worthwhile",A
A Midnight Heist,8,"Approaching the display case, he noticed a grid of laser beams, invisible to the naked eye but (8) with his special glasses.","reveal","revealed","revealing","reveals","revelation",B
A Midnight Heist,9,"He contorted his body, twisting and turning to avoid the deadly beams that would (9) the sirens.","trigger","triggered","triggering","triggers","trick",A
A Midnight Heist,10,"Sweat trickled down his forehead, stinging his eyes, but he dared not (10) his focus for a second.","lose","lost","losing","loses","loser",A
A Midnight Heist,11,"Finally reaching the pedestal, he swapped the diamond for a replica of (11) weight and size.","identify","identical","identically","identity","identification",B
A Midnight Heist,12,"As he slipped back into the night, he smiled, knowing he had just committed the perfect (12).","crime","criminal","criminally","criminology","crimp",A
The Victorian Factory,1,"The factory whistle blew, a shrill, piercing sound that summoned the workers from their (1) slumber.","fit","fitful","fitfully","fitness","fitting",B
The Victorian Factory,2,"Thick, black smoke billowed from the chimney stacks, choking the air and coating the city in a layer of (2) grime.","industry","industrial","industrious","industriously","indus",B
The Victorian Factory,3,"Inside, the noise was deafening; the clanking of metal and the hiss of steam made conversation (3).","possible","impossible","possibility","possibly","impossibility",B
The Victorian Factory,4,"Small children, their faces smeared with soot, scrambled under the spinning looms to retrieve (4) threads.","break","broke","broken","breaking","breaks",C
The Victorian Factory,5,"They risked injury every time they reached into the machinery, but the overseer permitted no (5).","lazy","laziness","lazily","laze","lazier",B
The Victorian Factory,6,"Mr. Gradgrind, the owner, walked the floor with a cane, his eyes scanning for any sign of (6).","idle","idleness","idly","idling","idol",B
The Victorian Factory,7,"He believed that work was a virtue and that rest was merely a (7) of time and money.","waste","wasted","wasting","wastes","wastage",A
The Victorian Factory,8,"Young Thomas, coughing continuously, struggled to keep up with the (8) pace of the conveyor belt.","relent","relentless","relentlessly","relenting","relents",B
The Victorian Factory,9,"His hands were raw and blistered, yet he knew that losing this job would mean (9) for his family.","starve","starved","starving","starvation","starver",D
The Victorian Factory,10,"At midday, the machines stopped for a brief thirty minutes, allowing the workers to eat their (10) lunch of stale bread.","meagre","meagerly","meagreness","meager","merge",A
The Victorian Factory,11,"Despite the hardship, there was a sense of camaraderie among the workers, a shared bond of (11).","suffer","suffered","suffering","suffers","sufferer",C
The Victorian Factory,12,"They looked forward to Sunday, the one day when the wheels stopped turning and the air was (12) clear.","relative","relatively","relation","relate","relating",B
Space Station Alpha,1,"Floating weightlessly in the observation module, Commander Lewis looked down at the blue marble of Earth (1) below.","rotate","rotated","rotating","rotates","rotation",C
Space Station Alpha,2,"The silence of space was absolute, broken only by the rhythmic hum of the life-support systems (2) air through the station.","cycle","cycled","cycling","cycles","cyclist",C
Space Station Alpha,3,"Suddenly, a red warning light began to flash on the console, accompanied by a piercing alarm that (3) the calm.","shatter","shattered","shattering","shatters","shatterproof",B
Space Station Alpha,4,"""Hull breach in Sector 4,"" the computer voice announced (4), devoid of any human emotion.","calm","calmed","calming","calms","calmly",E
Space Station Alpha,5,"Lewis propelled himself through the connecting tunnels, grabbing handholds to (5) his momentum.","maintain","maintained","maintaining","maintains","maintenance",A
Space Station Alpha,6,"He found his colleague, Sarah, already at the airlock, struggling to seal the door against the (6) vacuum.","encroach","encroached","encroaching","encroaches","encroachment",C
Space Station Alpha,7,"""The seal has failed!"" she shouted, her voice tight with (7) as the air hissed escaping into the void.","panic","panicked","panicking","panics","panicky",A
Space Station Alpha,8,"Together, they hauled on the manual override lever, their muscles straining against the (8) pressure.","resist","resisted","resisting","resistance","resistant",D
Space Station Alpha,9,"With a final, metallic clang, the door locked into place, and the hissing sound abruptly (9).","cease","ceased","ceasing","ceases","cessation",B
Space Station Alpha,10,"They floated there for a moment, catching their breath, realising how close they had come to (10).","disaster","disastrous","disastrously","disasters","disasterous",A
Space Station Alpha,11,"""That was too close,"" whispered Sarah, wiping a bead of sweat that was (11) near her eye.","drift","drifted","drifting","drifts","drifter",C
Space Station Alpha,12,"They knew that in the unforgiving environment of space, there is no margin for (12).","error","err","erred","erring","erroneous",A
The Archaeological Dig,1,"The desert sun beat down mercilessly on the dig site, baking the ground until it was as hard as (1).","iron","ironing","ironed","irons","irony",A
The Archaeological Dig,2,"Professor Blackwood, wiping the grit from his face, gently brushed away the sand to reveal a (2) of ancient pottery.","fragment","fragmented","fragmenting","fragments","fragmentary",A
The Archaeological Dig,3,"For months they had been searching for the lost tomb of the Pharaoh, battling heat, scorpions, and (3) exhaustion.","relent","relentless","relentlessly","relenting","relents",B
The Archaeological Dig,4,"Today, however, the discovery of a stone seal bearing the royal cartouche suggested their efforts were finally (4) fruit.","bear","bearing","born","borne","bears",B
The Archaeological Dig,5,"""Bring the lantern,"" he commanded, his voice trembling slightly with suppressed (5).","excite","excited","exciting","excitement","excites",D
The Archaeological Dig,6,"As the light illuminated the dark recess, the glint of gold caught their eyes, promising treasures beyond (6).","imagine","imagined","imagining","imagination","image",D
The Archaeological Dig,7,"Inside the chamber, hieroglyphics covered the walls, telling the story of a king who had ruled with (7) power.","absolute","absolutely","absolution","absolved","absolve",A
The Archaeological Dig,8,"Statues of gods stood guard in the corners, their stone eyes staring (8) at the intruders who dared to enter.","accuse","accused","accusing","accusingly","accusation",D
The Archaeological Dig,9,"The air in the tomb was stale and dry, unchanged for thousands of years, preserving the secrets (9) within.","hold","held","holding","holds","holder",B
The Archaeological Dig,10,"Blackwood knew that this discovery would rewrite history books and cement his reputation as a (10) archaeologist.","lead","led","leading","leads","leader",C
The Archaeological Dig,11,"However, he also remembered the legends of the curse, which warned of terrible consequences for those who (11) the dead.","disturb","disturbed","disturbing","disturbs","disturbance",B
The Archaeological Dig,12,"Dismissing the thought as superstition, he stepped forward to claim his (12).","prize","prized","prizing","prizes","priser",A
The Haunted Manor,1,"The iron gates of Blackwood Manor groaned in protest as they were pushed open, revealing a driveway choked with (1) weeds.","overgrow","overgrew","overgrown","overgrowing","growth",C
The Haunted Manor,2,"Lightning flashed overhead, illuminating the broken windows that looked like empty, soulless (2) staring into the night.","eye","eyes","eyed","eyeing","sight",B
The Haunted Manor,3,"James tightened his coat around him, regretting the bet that had brought him to this (3) place at midnight.","forsake","forsook","forsaken","forsaking","sake",C
The Haunted Manor,4,"The front door was ajar, swinging slightly in the wind, as if inviting him to enter the (4) darkness within.","gloom","gloomy","gloomily","glooms","gloominess",A
The Haunted Manor,5,"He stepped into the hall, where dust motes danced in the beam of his torch, and the floorboards creaked (5) underfoot.","ominous","ominously","omen","omens","omened",B
The Haunted Manor,6,"A portrait above the fireplace depicted a stern man whose eyes seemed to (6) James as he moved across the room.","follow","followed","following","follows","follower",A
The Haunted Manor,7,"Suddenly, a cold draught extinguished his torch, plunging him into a blackness so complete it felt (7).","solid","solidly","solidify","solidity","solids",A
The Haunted Manor,8,"From the floor above, came the distinct sound of footsteps, slow and deliberate, pacing back and (8).","fourth","forth","four","fours","fore",B
The Haunted Manor,9,"James's heart hammered against his ribs like a trapped bird, his breath coming in shallow, (9) gasps.","ragged","rag","ragging","rags","raggedly",A
The Haunted Manor,10,"He scrambled for the door, fumbling with the handle which seemed to have (10) stuck fast.","become","became","becoming","becomes","comer",A
The Haunted Manor,11,"As the footsteps reached the top of the stairs, a whisper echoed through the hall: ""You should not have (11).""","come","came","coming","comes","comer",A
The Haunted Manor,12,"With a final surge of adrenaline, James kicked the door open and sprinted into the night, vowing never to (12).","return","returned","returning","returns","returner",A
Mountain Rescue,1,"The blizzard had descended with terrifying speed, transforming the mountain into a white, swirling (1) of confusion.","chaos","chaotic","chaotically","chasm","chased",A
Mountain Rescue,2,"Ben, the lead rescuer, squinted through his goggles, searching for any sign of the (2) climbers.","strand","stranded","stranding","strands","strander",B
Mountain Rescue,3,"The radio crackled with static, the only connection to the base camp where anxious families (3) for news.","wait","waited","waiting","waits","waiter",B
Mountain Rescue,4,"""We have to turn back,"" shouted his partner, ""the visibility is zero and the temperature is (4).""","drop","dropped","dropping","drops","dropper",C
Mountain Rescue,5,"""Not yet,"" Ben replied, his voice determined, ""I saw a flare (5) from that ridge ten minutes ago.""","fire","fired","firing","fires","fiery",B
Mountain Rescue,6,"Fighting against the wind that threatened to blow them off the ledge, they inched their way (6).","forward","forwards","fore","before","foward",A
Mountain Rescue,7,"Suddenly, Ben spotted a patch of bright red jacket amidst the snow, half-buried and (7).","motion","motionless","motioned","motioning","motions",B
Mountain Rescue,8,"They dug frantically, pulling the climber from the drift and wrapping him in a thermal (8) to restore body heat.","blanket","blanketed","blanketing","blankets","blank",A
Mountain Rescue,9,"The man was barely conscious, his lips blue with cold, but he managed to whisper a faint ""thank you"" to his (9).","rescue","rescued","rescuing","rescues","rescuers",E
Mountain Rescue,10,"The descent was treacherous, requiring them to lower the injured man down steep ice walls using ropes and (10).","pulley","pulleys","pulled","pulling","pull",B
Mountain Rescue,11,"Every step was a battle against fatigue and the elements, but the thought of saving a life kept them (11).","go","went","going","gone","goes",C
Mountain Rescue,12,"When the lights of the rescue helicopter finally pierced the darkness, Ben felt a wave of relief wash (12) him.","over","above","on","in","at",A
The Grand Banquet,1,"The Great Hall was decorated with tapestries of gold and crimson, preparing for the arrival of the King and his (1).","entourage","tour","tourist","touring","toured",A
The Grand Banquet,2,"Servants scurried back and forth carrying silver platters piled high with roasted meats, exotic fruits, and fresh (2).","bake","baked","baking","baker","bakery",B
The Grand Banquet,3,"The aroma of spices, imported from distant lands at great expense, (3) the air, making everyone's mouth water.","fill","filled","filling","fills","filler",B
The Grand Banquet,4,"Musicians played lutes and harps in the gallery, their sweet melodies providing a pleasant backdrop to the (4) chatter.","live","lived","lively","life","living",C
The Grand Banquet,5,"When the King entered, a hush fell over the room, and the guests bowed low in a show of deep (5).","respect","respected","respecting","respects","respectful",A
The Grand Banquet,6,"He took his seat at the head of the table, signalling for the feast to (6).","begin","began","beginning","begins","beginner",A
The Grand Banquet,7,"However, beneath the surface of celebration, there was an undercurrent of tension and political (7).","intrigue","intrigued","intriguing","intrigues","intriguer",A
The Grand Banquet,8,"The Duke of York, seated to the King's left, whispered (8) to his neighbour, casting furtive glances at the monarch.","urgent","urgency","urgently","urge","urged",C
The Grand Banquet,9,"It was rumoured that a plot was afoot to seize the throne, and every wine goblet was checked for (9).","poison","poisoned","poisoning","poisons","poisonous",A
The Grand Banquet,10,"The King, aware of the treachery, ate only from his own plate and watched his courtiers with (10) eyes.","narrow","narrowed","narrowing","narrows","narrowly",B
The Grand Banquet,11,"Despite the danger, he laughed loudly and drank deeply, refusing to show any sign of (11) or weakness.","fear","feared","fearing","fears","fearful",A
The Grand Banquet,12,"For in the dangerous game of power, appearance was everything, and a King must always appear (12).","invincible","invisible","invisibility","invincibility","vision",A
The Inventor's Workshop,1,"The workshop was a chaotic jumble of cogs, springs, and brass pipes, illuminated by the flickering light of a gas (1).","lamp","lamps","lamping","lamplight","lamppost",A
The Inventor's Workshop,2,"Old Mr. Cogsworth sat at his workbench, adjusting a tiny screw with a pair of tweezers and a magnifying (2).","glass","glasses","glassy","glaze","glazer",A
The Inventor's Workshop,3,"Steam hissed from a valve in the corner, filling the room with a warm, damp fog that smelled of oil and (3).","metal","metallic","metalwork","metals","metallurgy",A
The Inventor's Workshop,4,"He was working on his masterpiece, a mechanical bird that would be able to sing and fly just like a (4) one.","real","reality","really","realism","realist",A
The Inventor's Workshop,5,"""Just one more adjustment,"" he muttered, his hands trembling slightly with (5) and age.","excite","excited","excitement","exciting","excites",C
The Inventor's Workshop,6,"He carefully wound the key in the bird's back, listening for the satisfying click of the mainspring (6).","engage","engaged","engaging","engages","engagement",C
The Inventor's Workshop,7,"Placing the bird on the table, he stepped back and held his breath, waiting for a sign of (7).","live","lived","living","life","lively",D
The Inventor's Workshop,8,"Slowly, the metal wings began to flutter, and a beak of polished gold opened to emit a (8) melody.","sweet","sweetly","sweeten","sweetness","sweets",A
The Inventor's Workshop,9,"It hovered in the air, circling the room with a grace that defied its mechanical (9).","origin","original","originally","origins","originate",A
The Inventor's Workshop,10,"Tears of joy streamed down Mr. Cogsworth's face as he watched his creation come to (10).","live","lived","living","life","lively",D
The Inventor's Workshop,11,"He had spent his entire life trying to replicate nature, and finally, he had (11).","succeed","succeeded","success","successful","succession",B
The Inventor's Workshop,12,"The bird landed gently on his shoulder, chirping softly, a perfect blend of science and (12).","magic","magical","magically","magician","mage",A
Jungle Expedition,1,"The humidity in the jungle was stifling, wrapping around the explorers like a heavy, wet (1).","blanket","blanketed","blanketing","blankets","blank",A
Jungle Expedition,2,"Insects the size of fists buzzed around their heads, and the air was thick with the scent of rotting (2).","vegetable","vegetation","vegetarian","vegetate","vegetative",B
Jungle Expedition,3,"Captain Sterling hacked at the vines with his machete, clearing a path through the green (3) that blocked their way.","wall","walls","walled","walling","wallet",A
Jungle Expedition,4,"""We must be getting close,"" he panted, pointing to a stone carving half-buried in the (4).","mud","muddy","muddled","muds","muddiness",A
Jungle Expedition,5,"The carving depicted a jaguar warrior, a guardian of the lost temple they had travelled thousands of miles to (5).","find","found","finding","finds","finder",A
Jungle Expedition,6,"Suddenly, the ground beneath them gave way, and they slid down a muddy slope into a hidden (6).","clear","clearing","cleared","clears","clearly",B
Jungle Expedition,7,"Before them stood the temple, covered in moss but still magnificent, its stone steps rising towards the (7).","canopy","canopied","canopies","can","canoping",A
Jungle Expedition,8,"""It's real,"" whispered the youngest member of the team, staring in (8) at the ancient structure.","believe","belief","disbelief","believed","believing",C
Jungle Expedition,9,"However, the silence of the jungle was suddenly broken by a low growl emerging from the darkness of the temple (9).","enter","entrance","entry","entered","entering",B
Jungle Expedition,10,"A pair of yellow eyes glowed in the shadows, watching them with a predatory (10).","intense","intensity","intensify","intensely","intensive",B
Jungle Expedition,11,"""Back away, slowly,"" ordered Sterling, reaching for the flare gun at his (11).","belt","belts","belted","belting","belter",A
Jungle Expedition,12,"They realised that the temple was not abandoned; it was still being (12) by the descendants of the jaguar.","guard","guarded","guarding","guards","guardian",B
The Final Exam,1,"The exam hall was silent, save for the scratching of pens and the ticking of the clock that seemed to echo (1).","loud","loudly","loudness","louder","loudest",B
The Final Exam,2,"Rows of students sat with their heads bowed, their faces etched with concentration and (2).","worry","worried","worrying","worries","worrier",A
The Final Exam,3,"James stared at the paper in front of him, the words swimming before his eyes like fish in a (3).","bowl","bowled","bowling","bowls","bowler",A
The Final Exam,4,"He had revised for weeks, yet his mind had gone completely (4) at the worst possible moment.","blank","blanked","blanking","blanks","blankly",A
The Final Exam,5,"He took a deep breath, trying to calm the panic that was rising in his chest like a (5) tide.","rise","rose","risen","rising","rises",D
The Final Exam,6,"Glancing at the clock, he realised that half the time had already (6), and he had barely started.","pass","passed","past","passing","passes",B
The Final Exam,7,"Forcing himself to focus, he re-read the first question, and slowly, a flicker of understanding began to (7).","dawn","dawned","dawning","dawns","down",A
The Final Exam,8,"He picked up his pen and began to write, the ink flowing onto the page as his memory finally (8).","unlock","unlocked","unlocking","unlocks","locker",B
The Final Exam,9,"Point by point, he constructed his argument, citing facts and figures he thought he had (9).","forget","forgot","forgotten","forgetting","forgets",C
The Final Exam,10,"The scratching of his pen became faster, a race against time to get all his ideas (10) on paper.","down","up","in","on","out",A
The Final Exam,11,"""Five minutes remaining,"" announced the invigilator, her voice cutting through the silence like a (11).","knife","knives","knifed","knifing","knifer",A
The Final Exam,12,"James scribbled the final sentence, put down his pen, and slumped back in his chair, exhausted but (12).","relief","relieved","relieving","relieves","relieve",B
The Medieval Siege,1,"From the battlements, the archers watched as the enemy army swarmed across the plain like a plague of (1).","locust","locusts","locusting","locus","local",B
The Medieval Siege,2,"The sound of war drums thundered in the distance, a terrifying rhythm designed to strike (2) into the hearts of the defenders.","fear","feared","fearing","fears","fearful",A
The Medieval Siege,3,"Below, the drawbridge was raised and the portcullis lowered, sealing the castle against the impending (3).","assault","assaulted","assaulting","assaults","assaulter",A
The Medieval Siege,4,"Giant catapults, constructed from timber and iron, hurled massive boulders that crashed against the castle (4).","wall","walls","walled","walling","wallet",B
The Medieval Siege,5,"Inside the keep, the women and children huddled together, praying for (5) from the violence outside.","deliver","delivery","deliverance","delivered","delivers",C
The Medieval Siege,6,"Sir William, the castle commander, walked the ramparts, shouting orders to his men to hold their (6).","ground","grounded","grounding","grounds","grind",A
The Medieval Siege,7,"""Aim for the siege towers!"" he bellowed, pointing to the wooden structures inching towards the (7).","gate","gates","gated","gating","gait",A
The Medieval Siege,8,"Flaming arrows rained down from the sky, setting the wooden hoardings (8) and filling the air with smoke.","light","alight","lighting","lighted","lights",B
The Medieval Siege,9,"Soldiers poured boiling oil onto the attackers who tried to scale the ladders, forcing them to (9).","retreat","retreated","retreating","retreats","retreater",A
The Medieval Siege,10,"The battle raged for hours, a chaotic swirl of metal, fire, and screams of (10).","pain","pained","paining","pains","painful",A
The Medieval Siege,11,"As night fell, the enemy finally withdrew to their camp, leaving the castle battered but still (11).","stand","stood","standing","stands","standard",C
The Medieval Siege,12,"They knew the siege was far from over, but for tonight, they had (12).","survive","survived","surviving","survives","survival",B
Deep Sea Diving,1,"Descending into the blue abyss, the diver watched as the sunlight above faded to a faint (1).","glow","glowed","glowing","glows","glower",A
Deep Sea Diving,2,"The only sound was the rhythmic hiss of his regulator and the bubbling of his own (2).","breath","breathe","breathing","breathless","breaths",B
Deep Sea Diving,3,"Around him, a coral reef exploded with colour, teeming with fish that darted like living (3).","jewel","jewels","jewelled","jeweller","jewellery",B
Deep Sea Diving,4,"He checked his pressure gauge; he had thirty minutes of air left to explore this underwater (4).","wonder","wondered","wondering","wonderland","wonderful",D
Deep Sea Diving,5,"A sea turtle, ancient and graceful, glided past him, its shell covered in barnacles and (5).","algae","algal","alga","algaes","allergic",A
Deep Sea Diving,6,"He swam deeper, towards a shipwreck that lay on the ocean floor, its mast pointing upwards like a skeletal (6).","fingers","finger","fingered","fingering","fin",B
Deep Sea Diving,7,"Entering the cargo hold, he had to be careful not to disturb the silt that would cloud his (7).","vision","visible","visibility","visibly","visionary",A
Deep Sea Diving,8,"Suddenly, a moray eel lunged from a pipe, its jaws snapping (8) inches from his mask.","danger","dangerous","dangerously","endanger","dangers",C
Deep Sea Diving,9,"He recoiled in shock, his heart racing, and kicked his fins to put some (9) between them.","distant","distance","distantly","distances","distanced",B
Deep Sea Diving,10,"Checking his air again, he saw the needle was dropping; it was time to begin his (10) to the surface.","ascend","ascent","ascending","ascends","ascension",B
Deep Sea Diving,11,"He had to rise slowly to avoid the bends, stopping at intervals to let his body (11) to the pressure change.","adjust","adjusted","adjusting","adjusts","adjustment",A
Deep Sea Diving,12,"Breaking the surface, he took a deep breath of fresh air, grateful to be back in the world of the (12).","live","lived","living","life","alive",C
The Marathon,1,"At mile twenty, the runners hit what is known as 'the wall', a point where energy stores are depleted and exhaustion sets (1).","on","in","at","up","out",B
The Marathon,2,"Mark's legs felt like lead weights, and every step sent a jolt of (2) through his tired muscles.","pain","pained","paining","pains","painful",A
The Marathon,3,"He focused on the back of the runner ahead of him, using it as a target to keep himself (3).","move","moved","moving","moves","movement",C
The Marathon,4,"The crowds lining the streets shouted encouragement, their cheers a dull roar in his ringing (4).","ear","ears","eared","earing","hear",B
The Marathon,5,"He grabbed a cup of water from a volunteer, splashing it over his head to cool his (5) skin.","burn","burned","burning","burns","burner",C
The Marathon,6,"""You can do this,"" he muttered to himself, a mantra to drown out the voice in his head telling him to (6).","stop","stopped","stopping","stops","stopper",A
The Marathon,7,"Rounding the final corner, the finish line appeared in the distance, a banner of blue and yellow (7) in the wind.","flutter","fluttered","fluttering","flutters","fluttery",C
The Marathon,8,"A surge of adrenaline, summoned from reserves he didn't know he had, (8) him forward.","propel","propelled","propelling","propels","propeller",B
The Marathon,9,"He picked up his pace, ignoring the protests of his body, driven only by the desire to (9).","finish","finished","finishing","finishes","finisher",A
The Marathon,10,"Crossing the line, he collapsed onto the grass, his chest heaving as he gasped for (10).","air","airy","aired","airing","heir",A
The Marathon,11,"A volunteer placed a medal around his neck, the metal cool and heavy against his skin, a symbol of his (11).","achieve","achievement","achieved","achieving","achiever",B
The Marathon,12,"He had run twenty-six miles, a test of endurance that proved he was stronger than he had ever (12).","imagine","imagined","imagining","imagines","imagination",B
The Lost City of Gold,1,"The map, crumbling and yellowed with age, depicted a route through the mountains that no one had taken for (1).","century","centuries","centuried","centurion","cents",B
The Lost City of Gold,2,"They climbed higher into the thin air, where snow capped the peaks and the wind howled a lonely (2).","song","sang","sing","sung","singer",A
The Lost City of Gold,3,"One night, huddled around the campfire, the guide told them legends of the city, claiming the streets were paved with (3).","gold","golden","gilded","golds","golder",A
The Lost City of Gold,4,"Greed flickered in the eyes of the men, casting long shadows over their faces in the (4) firelight.","dance","danced","dancing","dances","dancer",C
The Lost City of Gold,5,"The next day, they reached a pass that looked down into a hidden valley, shrouded in (5).","mist","misty","misted","misting","mists",A
The Lost City of Gold,6,"As the sun burned away the fog, the ruins of a magnificent city were (6) below.","reveal","revealed","revealing","reveals","revelation",B
The Lost City of Gold,7,"Temples topped with gold spires glinted in the light, blinding them with their (7).","brilliant","brilliance","brilliantly","brills","brill",B
The Lost City of Gold,8,"They rushed down the slope, shouting and cheering, forgetting all caution in their haste to reach the (8).","treasure","treasured","treasuring","treasures","treasurer",A
The Lost City of Gold,9,"However, as they entered the city gates, they found the streets empty and silent as the (9).","grave","gravel","gravity","graves","graved",A
The Lost City of Gold,10,"It was a ghost city, abandoned centuries ago, leaving behind only echoes of its former (10).","glory","glorious","gloriously","glories","glorified",A
The Lost City of Gold,11,"They filled their bags with gold, but soon realised that gold cannot be eaten or drunk, and they were days from (11).","civil","civilise","civilisation","civility","civilian",C
The Lost City of Gold,12,"The true value of the city was not its wealth, but the warning it offered about the folly of human (12).","ambition","ambitious","ambitiously","ambitions","amble",A
