Spelling_044,The electrical circut,failed and the,lights went out,suddenly.,A,Error: 'circut' should be 'circuit' (cuit).,,,9,59,21
Spelling_045,He is a,proud citezen of,this country and,works hard.,B,Error: 'citezen' should be 'citizen' (tizen).,,,7,50,16
Spelling_046,My work collegue,helped me to,finish the report,on time.,A,Error: 'collegue' should be 'colleague' (league).,,,8,53,17
Spelling_047,Add the numbers,in the right,hand colum please,carefully.,C,Error: 'colum' should be 'column' (umn).,,,10,54,17
Spelling_048,He is comming,to stay with,us for the,weekend.,A,Error: 'comming' should be 'coming' (one m).,,,8,43,13
Spelling_049,I did not,commit any crime,so let me,go.,N,No error.,,,3,37,16
Spelling_050,The school comittee,decided to buy,new equipment for,the gym.,A,Error: 'comittee' should be 'committee' (double m).,,,8,58,19
Spelling_051,We can communicate,with people all,over the world,easily.,N,No error.,,,7,54,18
Spelling_052,The local comunity,worked together to,build a new,park.,A,Error: 'comunity' should be 'community' (double m).,,,5,52,18
Spelling_054,I am completely,sure that this,is the correct,answer.,N,No error.,,,7,50,15
Spelling_055,My concience is,clear because I,told the absolute,truth.,A,Error: 'concience' should be 'conscience' (sci).,,,6,53,17
Spelling_056,He was concious,of the fact,that everyone was,watching.,A,Error: 'concious' should be 'conscious' (sci).,,,9,52,17
Spelling_057,The plan was,concieved by the,architect many years,ago.,B,Error: 'concieved' should be 'conceived' (cei).,,,4,52,20
Spelling_058,The weather condition,was perfect for,playing cricket in,the park.,N,No error.,,,9,63,21
Spelling_059,I am confidant,that our team,will win the,match.,A,Error: 'confidant' (noun) should be 'confident' (adj).,,,6,45,14
Spelling_060,The continious rain,caused the river,to flood the,fields.,A,Error: 'continious' should be 'continuous' (nuo).,,,7,54,19
Spelling_061,The decision caused,a lot of,contreversy in the,town.,C,Error: 'contreversy' should be 'controversy' (tro).,,,5,50,19
Spelling_062,For your convenience,the shop will,remain open until,late.,N,No error.,,,5,55,20
Spelling_063,Please corespond with,us by email,if you have,questions.,A,Error: 'corespond' should be 'correspond' (rr).,,,10,53,21
Spelling_064,The town council,meets every month,to discuss local,issues.,N,No error.,,,7,56,17
Spelling_065,He acted as,legal counsel for,the defence in,court.,N,No error.,,,6,48,17
Spelling_066,The soldier was,very corageous in,the face of,danger.,B,Error: 'corageous' should be 'courageous' (our).,,,7,50,17
Spelling_067,Always be courtious,to others and,mind your manners,please.,A,Error: 'courtious' should be 'courteous' (teous).,,,7,56,19
Spelling_068,Do not critisise,people unless you,know all the,facts.,B,Error: 'critisise' should be 'criticise' (tic).,,,6,51,17
Spelling_069,His curiosity led,him to explore,the old empty,house.,N,No error.,,,6,50,17
Spelling_070,He was curious,to know what,was inside the,box.,N,No error.,,,4,44,14
Spelling_071,Use a measuring,cylannder to measure,the liquid for,science.,B,Error: 'cylannder' should be 'cylinder' (lind).,,,8,57,20
Spelling_072,Do not try,to decieve me,because I know,the truth.,B,Error: 'decieve' should be 'deceive' (cei).,,,10,47,14
Spelling_073,I will decide,which shirt to,wear for the,party.,N,No error.,,,6,45,14
Spelling_074,It was a,difficult decision to,make but I,did it.,N,No error.,,,7,46,21
Spelling_075,It is definate,that we are,going on holiday,soon.,A,Error: 'definate' should be 'definite' (ini).,,,5,46,16
Spelling_077,We will descend,the mountain before,it gets too,dark.,N,No error.,,,5,50,19
Spelling_078,Please discribe the,man you saw,running away from,here.,A,Error: 'discribe' should be 'describe' (des).,,,5,52,19
Spelling_079,A full description,of the event,was given to,police.,N,No error.,,,7,49,18
Spelling_080,The sahara desert,is a very,hot and dry,place.,N,No error.,,,6,43,17
Spelling_081,He was desparate,to find his,lost keys before,work.,A,Error: 'desparate' should be 'desperate' (pe).,,,5,48,16
Spelling_082,We must develope,a better way,of working together,now.,A,Error: 'develope' should be 'develop' (op).,,,4,51,19
Spelling_083,I write in,my diary every,night before I,sleep.,N,No error.,,,6,44,14
Spelling_084,Use a dictionary,to find the,meaning of words,you know.,N,"No error. (Wait, logical error in text 'words you know', usually 'words you don't know', but grammatically/spelling wise it's N).",,,9,52,16
Spelling_085,It is different,from what I,expected it to,be.,N,No error.,,,3,43,15
Spelling_086,It is dificult,to see in,the dark without,light.,A,Error: 'dificult' should be 'difficult' (ff).,,,6,45,16
Spelling_087,The sun will,disapear behind the,hills in the,evening.,B,Error: 'disapear' should be 'disappear' (pp).,,,8,51,19
Spelling_088,I do not,want to dissapoint,my parents with,bad grades.,B,"Error: 'dissapoint' should be 'disappoint' (one s, double p).",,,8,52,18
Spelling_089,The flood was,a major disaster,for the small,village.,N,No error.,,,8,50,16
Spelling_091,You need self,disipline to study,hard for your,exams.,B,Error: 'disipline' should be 'discipline' (sci).,,,6,50,18
Spelling_092,Do not disturb,the baby while,she is sleeping,soundly.,N,No error.,,,8,51,15
Spelling_093,I doubt that,he will arrive,on time for,dinner.,N,No error.,,,7,44,14
Spelling_094,There are a,dozen eggs in,the box on,the table.,N,No error.,,,10,44,13
Spelling_095,The earth revolves,around the sun,once every single,year.,N,No error.,,,5,54,18
Spelling_096,She was in,ecstacy when she,won the first,prize.,B,Error: 'ecstacy' should be 'ecstasy' (sy).,,,6,45,16
Spelling_097,The medicine had,no effect on,his terrible headache,today.,N,No error.,,,6,55,21
Spelling_098,There are eight,people coming to,dinner at our,house.,N,No error.,,,6,50,16
Spelling_099,Please do not,embarass me in,front of my,friends.,B,Error: 'embarass' should be 'embarrass' (rr).,,,8,46,14
Spelling_100,The roman emporer,ruled over a,vast and powerful,empire.,A,Error: 'emporer' should be 'emperor' (ror).,,,7,53,17
Spelling_1000,The expensive yatch,was moored in,the harbour at,sunset.,A,Error: 'yatch' should be 'yacht' (yacht).,,,7,53,19
Spelling_1001,The absence of,fresh water was,a serious problem,for the travellers.,N,No error.,,,14,65,19
Spelling_1002,There was an,abundence of food,at the wedding,reception yesterday.,B,Error: 'abundence' should be 'abundance' (ance).,,,12,63,20
Spelling_1003,The new library,is fully accesable,to people using,wheelchairs now.,B,Error: 'accesable' should be 'accessible' (ible).,,,15,64,18
Spelling_1004,I accidently dropped,the expensive vase,on the kitchen,floor today.,A,Error: 'accidently' should be 'accidentally' (ally).,,,12,64,20
Spelling_1005,The hotel could,not accommodate all,the guests during,the festival.,N,No error.,,,13,64,19
Spelling_1006,I will accompany,you to the,station to make,sure you arrive.,N,No error.,,,10,57,16
Spelling_1007,According to the,weather forecast it,will rain heavily,tomorrow morning.,N,No error.,,,16,69,19
Spelling_1008,He worked hard,to acheive his,goal of becoming,a doctor.,B,Error: 'acheive' should be 'achieve' (i before e).,,,9,53,16
Spelling_1009,We ran accross,the muddy field,to catch the,last bus home.,A,Error: 'accross' should be 'across' (one c).,,,12,55,15
Spelling_101,She needs some,encouragment to try,harder at her,maths.,B,Error: 'encouragment' should be 'encouragement' (gem).,,,6,52,19
Spelling_1010,Please write your,home adress clearly,on the back,of the envelope.,B,Error: 'adress' should be 'address' (double d).,,,11,63,19
Spelling_1011,The dog became,very agressive when,the postman walked,up the path.,B,Error: 'agressive' should be 'aggressive' (double g).,,,12,63,19
Spelling_1012,He is an,amature photographer who,likes taking photos,of birds.,B,Error: 'amature' should be 'amateur' (eur).,,,8,60,24
Spelling_1013,The ancient ruins,were discovered by,a team of,archaeologists.,N,No error.,,,9,59,18
Spelling_1014,It became apparant,that we had,taken the wrong,turning earlier.,A,Error: 'apparant' should be 'apparent' (ent).,,,11,60,18
Spelling_1015,His apperance was,very neat and,tidy for the,job interview.,A,Error: 'apperance' should be 'appearance' (ear).,,,12,56,17
Spelling_1016,I really appreciate,all the help,you have given,me today.,N,No error.,,,9,54,19
Spelling_1017,The arguement between,the two brothers,lasted for over,an hour.,A,Error: 'arguement' should be 'argument' (no e).,,,8,60,21
Spelling_1018,The young athalete,ran faster than,anyone else in,the race.,A,Error: 'athalete' should be 'athlete' (thl).,,,9,56,18
Spelling_1019,Basicly I do,not want to,go to the,party tonight.,A,Error: 'Basicly' should be 'Basically' (ally).,,,9,46,14
Spelling_102,The enemy retreated,after losing the,battle on the,field.,N,No error.,,,6,54,19
Spelling_1020,At the begining,of the film,the hero was,very poor.,A,Error: 'begining' should be 'beginning' (double n).,,,10,48,15
Spelling_1021,I truly beleive,that he is,telling the truth,about it.,B,Error: 'beleive' should be 'believe' (lieve).,,,9,51,17
Spelling_1022,I ate a,chocolate biscut with,my cup of,tea today.,B,Error: 'biscut' should be 'biscuit' (cuit).,,,7,47,21
Spelling_1023,It was a,bizzare situation to,be in given,the circumstances.,B,Error: 'bizzare' should be 'bizarre' (zarre).,,,8,57,20
Spelling_1024,The cricket boundry,was marked with,a long white,rope.,A,Error: 'boundry' should be 'boundary' (ary).,,,5,51,19
Spelling_1025,Take a deep,breath and try,to calm down,right now.,N,No error.,,,10,47,14
Spelling_1026,I can breathe,much better now,that the window,is open.,N,No error.,,,8,51,15
Spelling_1027,The fireworks display,was briliant and,lit up the,night sky.,B,Error: 'briliant' should be 'brilliant' (lliant).,,,10,57,21
Spelling_1028,I ate all,my brocoli because,it is good,for me.,B,Error: 'brocoli' should be 'broccoli' (occoli).,,,7,44,18
Spelling_1029,The small buisness,grew rapidly into,a large global,company.,A,Error: 'buisness' should be 'business' (siness).,,,8,57,18
Spelling_103,The variety of,entertinment at the,party was very,good.,B,Error: 'entertinment' should be 'entertainment' (tain).,,,5,52,19
Spelling_1030,I checked the,calender to see,when the school,holidays start.,B,Error: 'calender' should be 'calendar' (endar).,,,13,58,15
Spelling_1031,The team captians,shook hands before,the match started,today.,A,Error: 'captians' should be 'captains' (ptains).,,,6,58,18
Spelling_1032,She chose a,carrer in medicine,because she likes,helping people.,B,Error: 'carrer' should be 'career' (areer).,,,11,61,18
Spelling_1033,The Carribean sea,is warm and,clear all year,round.,A,Error: 'Carribean' should be 'Caribbean' (ribbean).,,,6,48,17
Spelling_1034,Which catagory does,this book belong,in on the,shelf?,A,Error: 'catagory' should be 'category' (tegory).,,,6,50,19
Spelling_1035,The cause of,the accident is,still being investigated,by police.,N,No error.,,,10,61,24
Spelling_1036,The cieling was,painted white to,make the room,look bigger.,A,Error: 'cieling' should be 'ceiling' (eiling).,,,12,56,16
Spelling_1037,The old cemetary,looked spooky in,the pale moonlight,tonight.,B,Error: 'cemetary' should be 'cemetery' (etery).,,,8,58,18
Spelling_1038,I am certain,that I locked,the front door,this morning.,N,No error.,,,12,52,14
Spelling_1039,His caractor is,very honest and,kind to everyone,he meets.,A,Error: 'caractor' should be 'character' (char).,,,9,55,16
Spelling_104,We must protect,the enviroment for,future generations to,enjoy.,B,Error: 'enviroment' should be 'environment' (nm).,,,6,60,21
Spelling_1040,The cheif of,police arrived at,the scene very,quickly.,A,Error: 'cheif' should be 'chief' (hief).,,,8,51,17
Spelling_1042,Smoking a cigerette,is very bad,for your health,and lungs.,A,Error: 'cigerette' should be 'cigarette' (garette).,,,10,55,19
Spelling_1043,We went to,the cinama to,watch the new,action movie.,B,Error: 'cinama' should be 'cinema' (inema).,,,10,49,13
Spelling_1044,The electrical circut,failed and the,lights went out,suddenly.,A,Error: 'circut' should be 'circuit' (rcuit).,,,9,59,21
Spelling_1045,He is a,proud citezen of,this country and,works hard.,B,Error: 'citezen' should be 'citizen' (tizen).,,,7,50,16
Spelling_1046,My work collegue,helped me to,finish the report,on time.,A,Error: 'collegue' should be 'colleague' (league).,,,8,53,17
Spelling_1047,Add the numbers,in the right,hand colum please,carefully.,C,Error: 'colum' should be 'column' (olumn).,,,10,54,17
Spelling_1048,He is comming,to stay with,us for the,weekend.,A,Error: 'comming' should be 'coming' (oming).,,,8,43,13
Spelling_1049,I did not,commit any crime,so let me,go.,N,No error.,,,3,37,16
Spelling_105,We need proper,equiptment to play,hockey safely on,grass.,B,Error: 'equiptment' should be 'equipment' (ment).,,,6,54,18
Spelling_1050,The school comittee,decided to buy,new equipment for,the gym.,A,Error: 'comittee' should be 'committee' (mittee).,,,8,58,19
Spelling_1051,We can communicate,with people all,over the world,easily.,N,No error.,,,7,54,18
Spelling_1052,The local comunity,worked together to,build a new,park.,A,Error: 'comunity' should be 'community' (mmunity).,,,5,52,18
Spelling_1053,The swimming compitition,was held at,the leisure centre,today.,A,Error: 'compitition' should be 'competition' (pet).,,,6,59,24
Spelling_1054,I am completely,sure that this,is the correct,answer.,N,No error.,,,7,50,15
Spelling_1055,My concience is,clear because I,told the absolute,truth.,A,Error: 'concience' should be 'conscience' (science).,,,6,53,17
Spelling_1056,He was concious,of the fact,that everyone was,watching.,A,Error: 'concious' should be 'conscious' (scious).,,,9,52,17
Spelling_1057,The plan was,concieved by the,architect many years,ago.,B,Error: 'concieved' should be 'conceived' (ceived).,,,4,52,20
Spelling_1058,The weather condition,was perfect for,playing cricket in,the park.,N,No error.,,,9,63,21
Spelling_1059,I am confidant,that our team,will win the,match.,A,Error: 'confidant' should be 'confident' (fident).,,,6,45,14
Spelling_106,The car is,fully equipped with,safety features and,bags.,N,No error.,,,5,53,19
Spelling_1060,The continious rain,caused the river,to flood the,fields.,A,Error: 'continious' should be 'continuous' (tinuous).,,,7,54,19
Spelling_1061,The decision caused,a lot of,contreversy in the,town.,C,Error: 'contreversy' should be 'controversy' (troversy).,,,5,50,19
Spelling_1062,For your convenience,the shop will,remain open until,late.,N,No error.,,,5,55,20
Spelling_1063,Please corespond with,us by email,if you have,questions.,A,Error: 'corespond' should be 'correspond' (rrespond).,,,10,53,21
Spelling_1064,The town council,meets every month,to discuss local,issues.,N,No error.,,,7,56,17
Spelling_1065,He acted as,legal counsel for,the defence in,court.,N,No error.,,,6,48,17
Spelling_1066,The soldier was,very corageous in,the face of,danger.,B,Error: 'corageous' should be 'courageous' (ourage).,,,7,50,17
Spelling_1067,Always be courtious,to others and,mind your manners,please.,A,Error: 'courtious' should be 'courteous' (urteous).,,,7,56,19
Spelling_1068,Do not critisise,people unless you,know all the,facts.,B,Error: 'critisise' should be 'criticise' (ticise).,,,6,51,17
Spelling_1069,His curiosity led,him to explore,the old empty,house.,N,No error.,,,6,50,17
Spelling_107,I like fruit,especialy apples and,pears from the,garden.,B,Error: 'especialy' should be 'especially' (lly).,,,7,53,20
Spelling_1070,He was curious,to know what,was inside the,box.,N,No error.,,,4,44,14
Spelling_1071,Use a measuring,cylannder to measure,the liquid for,science.,B,Error: 'cylannder' should be 'cylinder' (linder).,,,8,57,20
Spelling_1072,Do not try,to decieve me,because I know,the truth.,B,Error: 'decieve' should be 'deceive' (ceive).,,,10,47,14
Spelling_1073,I will decide,which shirt to,wear for the,party.,N,No error.,,,6,45,14
Spelling_1074,It was a,difficult decision to,make but I,did it.,N,No error.,,,7,46,21
Spelling_1075,It is definate,that we are,going on holiday,soon.,A,Error: 'definate' should be 'definite' (finite).,,,5,46,16
Spelling_1076,The meal was,absolutely deliscious and,we ate it,all.,B,Error: 'deliscious' should be 'delicious' (licious).,,,4,50,25
Spelling_1077,We will descend,the mountain before,it gets too,dark.,N,No error.,,,5,50,19
Spelling_1078,Please discribe the,man you saw,running away from,here.,A,Error: 'discribe' should be 'describe' (describe).,,,5,52,19
Spelling_1079,A full description,of the event,was given to,police.,N,No error.,,,7,49,18
Spelling_108,Do not exagerate,the story to,make it sound,better.,B,Error: 'exagerate' should be 'exaggerate' (gg).,,,7,48,16
Spelling_1080,The sahara desert,is a very,hot and dry,place.,N,No error.,,,6,43,17
Spelling_1081,He was desparate,to find his,lost keys before,work.,A,Error: 'desparate' should be 'desperate' (sperate).,,,5,48,16
Spelling_1082,We must develope,a better way,of working together,now.,A,Error: 'develope' should be 'develop' (velop).,,,4,51,19
Spelling_1083,I write in,my diary every,night before I,sleep.,N,No error.,,,6,44,14
Spelling_1084,Use a dictionary,to find the,meaning of the,word.,N,No error.,,,5,46,16
Spelling_1085,It is different,from what I,expected it to,be.,N,No error.,,,3,43,15
Spelling_1086,It is dificult,to see in,the dark without,light.,A,Error: 'dificult' should be 'difficult' (ffi).,,,6,45,16
Spelling_1087,The sun will,disapear behind the,hills in the,evening.,B,Error: 'disapear' should be 'disappear' (ppear).,,,8,51,19
Spelling_1088,I do not,want to dissapoint,my parents with,bad grades.,B,Error: 'dissapoint' should be 'disappoint' (sappoint).,,,8,52,18
Spelling_1089,The flood was,a major disaster,for the small,village.,N,No error.,,,8,50,16
Spelling_1090,The play was,disasterous because the,actors forgot their,lines.,B,Error: 'disasterous' should be 'disastrous' (strous).,,,6,60,23
Spelling_1091,You need self,disipline to study,hard for your,exams.,B,Error: 'disipline' should be 'discipline' (scip).,,,6,50,18
Spelling_1092,Do not disturb,the baby while,she is sleeping,soundly.,N,No error.,,,8,51,15
Spelling_1093,I doubt that,he will arrive,on time for,dinner.,N,No error.,,,7,44,14
Spelling_1094,There are a,dozen eggs in,the box on,the table.,N,No error.,,,10,44,13
Spelling_1095,The earth revolves,around the sun,once every single,year.,N,No error.,,,5,54,18
Spelling_1096,She was in,ecstacy when she,won the first,prize.,B,Error: 'ecstacy' should be 'ecstasy' (stasy).,,,6,45,16
Spelling_1097,The medicine had,no effect on,his terrible headache,today.,N,No error.,,,6,55,21
Spelling_1098,There are eight,people coming to,dinner at our,house.,N,No error.,,,6,50,16
Spelling_1099,Please do not,embarass me in,front of my,friends.,B,Error: 'embarass' should be 'embarrass' (rrass).,,,8,46,14
Spelling_110,There is no,exception to the,rule for anyone,here.,N,No error.,,,5,47,16
Spelling_1100,The roman emporer,ruled over a,vast and powerful,empire.,A,Error: 'emporer' should be 'emperor' (peror).,,,7,53,17
Spelling_1101,She needs some,encouragment to try,harder at her,maths.,B,Error: 'encouragment' should be 'encouragement' (gement).,,,6,52,19
Spelling_1102,The enemy retreated,after losing the,battle on the,field.,N,No error.,,,6,54,19
Spelling_1103,The variety of,entertinment at the,party was very,good.,B,Error: 'entertinment' should be 'entertainment' (tain).,,,5,52,19
Spelling_1104,We must protect,the enviroment for,future generations to,enjoy.,B,Error: 'enviroment' should be 'environment' (ronment).,,,6,60,21
Spelling_1105,We need proper,equiptment to play,hockey safely on,grass.,B,Error: 'equiptment' should be 'equipment' (quip).,,,6,54,18
Spelling_1106,The car is,fully equipped with,safety features and,bags.,N,No error.,,,5,53,19
Spelling_1107,I like fruit,especialy apples and,pears from the,garden.,B,Error: 'especialy' should be 'especially' (lly).,,,7,53,20
Spelling_1108,Do not exagerate,the story to,make it sound,better.,B,Error: 'exagerate' should be 'exaggerate' (agg).,,,7,48,16
Spelling_1109,It was an,excelent performance by,the school drama,group.,B,Error: 'excelent' should be 'excellent' (ll).,,,6,54,23
Spelling_111,Regular excercise is,good for your,health and your,heart.,A,Error: 'excercise' should be 'exercise' (exe).,,,6,54,20
Spelling_1110,There is no,exception to the,rule for anyone,here.,N,No error.,,,5,47,16
Spelling_1111,Regular excercise is,good for your,health and your,heart.,A,Error: 'excercise' should be 'exercise' (cise).,,,6,54,20
Spelling_1112,I felt completely,exhasted after running,the marathon last,week.,B,Error: 'exhasted' should be 'exhausted' (haust).,,,5,61,22
Spelling_1113,We visited the,art exibition at,the museum on,Saturday.,B,Error: 'exibition' should be 'exhibition' (xhi).,,,9,52,16
Spelling_1114,The existance of,ghosts has never,been proven by,science.,A,Error: 'existance' should be 'existence' (tence).,,,8,54,16
Spelling_1115,It was an,expensive watch that,cost a lot,of money.,N,No error.,,,9,48,20
Spelling_1116,I have no,experiance of working,in a busy,office.,B,Error: 'experiance' should be 'experience' (ience).,,,7,46,21
Spelling_1117,There was no,explantion for his,strange behaviour that,day.,B,Error: 'explantion' should be 'explanation' (plana).,,,4,56,22
Spelling_1118,It was an,extraodinary event that,we will never,forget.,B,Error: 'extraodinary' should be 'extraordinary' (raor).,,,7,52,23
Spelling_1119,The weather was,extream so we,stayed inside all,day.,B,Error: 'extream' should be 'extreme' (treme).,,,4,49,17
Spelling_1120,His face looks,familar but I,cannot remember his,name.,B,Error: 'familar' should be 'familiar' (miliar).,,,5,51,19
Spelling_1121,My favorite colour,is blue because,it reminds me,of sea.,A,"Error: 'favorite' is US spelling, 'favourite' is UK.",,,7,53,18
Spelling_1122,My birthday is,in Febuary which,is a cold,month.,B,Error: 'Febuary' should be 'February' (bru).,,,6,45,16
Spelling_1123,The lion looked,feirce as it,roared at the,crowd.,B,Error: 'feirce' should be 'fierce' (ierce).,,,6,46,15
Spelling_1124,We finaly arrived,at our destination,after a long,drive.,A,Error: 'finaly' should be 'finally' (lly).,,,6,53,18
Spelling_1125,The florescent light,flickered and then,went out completely,dark.,A,Error: 'florescent' should be 'fluorescent' (luo).,,,5,62,20
Spelling_1126,He speaks a,foriegn language that,I do not,understand.,B,Error: 'foriegn' should be 'foreign' (reign).,,,8,51,21
Spelling_1127,Do not forget,to lock the,door when you,leave.,N,No error.,,,6,43,13
Spelling_1128,He is fourty,years old today,and having a,party.,A,Error: 'fourty' should be 'forty' (forty).,,,6,45,15
Spelling_1129,Please move foward,down the bus,to make some,room.,A,Error: 'foward' should be 'forward' (rw).,,,5,47,18
Spelling_113,We visited the,art exibition at,the museum on,Saturday.,B,Error: 'exibition' should be 'exhibition' (xhi).,,,9,52,16
Spelling_1130,My best freind,is coming to,stay with me,tonight.,A,Error: 'freind' should be 'friend' (ie).,,,8,46,14
Spelling_1131,It was a,frightning experience for,everyone who was,there.,B,Error: 'frightning' should be 'frightening' (tening).,,,6,55,25
Spelling_1132,For futher information,please ask at,the reception desk,now.,A,Error: 'futher' should be 'further' (rther).,,,4,57,22
Spelling_1133,I garantee that,you will enjoy,the show very,much.,A,Error: 'garantee' should be 'guarantee' (guar).,,,5,47,15
Spelling_1134,Use the pressure,guage to check,the tyres on,bike.,B,Error: 'guage' should be 'gauge' (gauge).,,,5,47,16
Spelling_1135,I got the,jist of the,story even though,it was long.,B,Error: 'jist' should be 'gist' (gist).,,,9,49,17
Spelling_1136,She looked glamourous,in her new,dress at the,party.,A,Error: 'glamourous' should be 'glamorous' (morous).,,,6,49,21
Spelling_1137,The goverment has,decided to lower,taxes for everyone,soon.,A,Error: 'goverment' should be 'government' (ernment).,,,5,56,18
Spelling_1138,My english grammer,is improving every,day at school,now.,A,Error: 'grammer' should be 'grammar' (mmar).,,,4,53,18
Spelling_1139,I am greatful,for all the,gifts I received,today.,A,Error: 'greatful' should be 'grateful' (grate).,,,6,46,16
Spelling_114,The existance of,ghosts has never,been proven by,science.,A,Error: 'existance' should be 'existence' (ence).,,,8,54,16
Spelling_1140,The security gaurd,checked our bags,at the entrance,gate.,A,Error: 'gaurd' should be 'guard' (guard).,,,5,54,18
Spelling_1141,What happend to,your car on,the way to,work?,A,Error: 'happend' should be 'happened' (pened).,,,5,41,15
Spelling_1142,Do not harrass,the animals in,the zoo cages,please.,B,Error: 'harrass' should be 'harass' (harass).,,,7,48,14
