Question,Image,Option A,Option B,Option C,Option D,Option E,Answer,Difficulty,Topic,Type,Ref
Which value does the 9 in 19338 represent?,,90000,900,9000,9,90,9000,1,Place Value,Multiple Choice,P2Q1_30
Which value does the 5 in 10542 represent?,,5000,50,50000,5,500,500,1,Place Value,Multiple Choice,P2Q1_31
Which value does the 2 in 23866 represent?,,20000,20,2000,200,2,20000,1,Place Value,Multiple Choice,P2Q1_32
Which value does the 8 in 83799 represent?,,800,8,80,8000,80000,80000,1,Place Value,Multiple Choice,P2Q1_33
Which value does the 9 in 29070 represent?,,900,9,9000,90,90000,9000,1,Place Value,Multiple Choice,P2Q1_34
Which value does the 4 in 71248 represent?,,40000,400,40,4,4000,40,1,Place Value,Multiple Choice,P2Q1_35
Which value does the 1 in 90132 represent?,,1000,1,10000,10,100,100,1,Place Value,Multiple Choice,P2Q1_36
Which value does the 6 in 64532 represent?,,6,60000,60,6000,600,60000,1,Place Value,Multiple Choice,P2Q1_37
Which value does the 6 in 91697 represent?,,60,6,6000,60000,600,600,1,Place Value,Multiple Choice,P2Q1_38
Which value does the 4 in 75425 represent?,,4,40,40000,400,4000,400,1,Place Value,Multiple Choice,P2Q1_39
Which value does the 5 in 50363 represent?,,50000,5,5000,50,500,50000,1,Place Value,Multiple Choice,P2Q1_40
Which value does the 6 in 60709 represent?,,600,6,6000,60000,60,60000,1,Place Value,Multiple Choice,P2Q1_41
Which value does the 8 in 58157 represent?,,8000,80000,8,800,80,8000,1,Place Value,Multiple Choice,P2Q1_42
Which value does the 2 in 13482 represent?,,20000,200,2000,2,20,2,1,Place Value,Multiple Choice,P2Q1_43
Which value does the 2 in 52065 represent?,,20000,20,200,2,2000,2000,1,Place Value,Multiple Choice,P2Q1_44
Which value does the 8 in 54078 represent?,,8000,800,80,8,80000,8,1,Place Value,Multiple Choice,P2Q1_45
Which value does the 3 in 13926 represent?,,3000,300,30,30000,3,3000,1,Place Value,Multiple Choice,P2Q1_46
Which value does the 3 in 36210 represent?,,3,30000,30,3000,300,30000,1,Place Value,Multiple Choice,P2Q1_47
Which value does the 1 in 99107 represent?,,1000,10,10000,100,1,100,1,Place Value,Multiple Choice,P2Q1_48
Which value does the 7 in 78045 represent?,,700,70,7000,7,70000,70000,1,Place Value,Multiple Choice,P2Q1_49
Which value does the 8 in 48023 represent?,,80000,80,8,8000,800,8000,1,Place Value,Multiple Choice,P2Q1_50
84615. The 8 in this number is worth 80000. What is the 6 worth?,,60,600,6000,6,84600,600,1,Place Value,Text,P3Q1_1
29745. The 4 in this number is worth 40. What is the 2 worth?,,20000,200,2,2000,20,20000,1,Place Value,Text,P3Q1_2
51876. The 1 in this number is worth 1000. What is the 7 worth?,,7,70000,70,700,51870,70,1,Place Value,Text,P3Q1_3
47361. The 3 in this number is worth 300. What is the 1 worth?,,10000,1,47361,1000,10,1,1,Place Value,Text,P3Q1_4
84215. The 4 in this number is worth 4000. What is the 2 worth?,,2000,84200,200,2,20,200,1,Place Value,Text,P3Q1_5
95716. The 6 in this number is worth 6. What is the 5 worth?,,50000,95000,5000,500,5,5000,1,Place Value,Text,P3Q1_6
73569. The 3 in this number is worth 3000. What is the 5 worth?,,5000,500,5,73500,50,500,1,Place Value,Text,P3Q1_7
96527. The 5 in this number is worth 500. What is the 2 worth?,,2000,200,20,2,96520,20,1,Place Value,Text,P3Q1_8
94637. The 6 in this number is worth 600. What is the 4 worth?,,94000,4,4000,400,40000,4000,1,Place Value,Text,P3Q1_9
61472. The 4 in this number is worth 400. What is the 1 worth?,,10000,1000,61000,100,1,1000,1,Place Value,Text,P3Q1_10
16732. The 1 in this number is worth 10000. What is the 7 worth?,,16700,7,7000,70,700,700,1,Place Value,Text,P3Q1_11
67135. The 6 in this number is worth 60000. What is the 5 worth?,,500,50,67135,5,50000,5,1,Place Value,Text,P3Q1_12
48139. The 8 in this number is worth 8000. What is the 3 worth?,,3,30,48130,300,30000,30,1,Place Value,Text,P3Q1_13
81239. The 3 in this number is worth 30. What is the 2 worth?,,2000,200,20,2,81200,200,1,Place Value,Text,P3Q1_14
56738. The 3 in this number is worth 30. What is the 8 worth?,,80000,80,8,8000,56738,8,1,Place Value,Text,P3Q1_15
62748. The 2 in this number is worth 2000. What is the 4 worth?,,400,62740,4,4000,40,40,1,Place Value,Text,P3Q1_16
86231. The 1 in this number is worth 1. What is the 2 worth?,,20,200,2,86200,2000,200,1,Place Value,Text,P3Q1_17
89473. The 7 in this number is worth 70. What is the 8 worth?,,80,8,8000,80000,800,80000,1,Place Value,Text,P3Q1_18
51426. The 4 in this number is worth 400. What is the 6 worth?,,60,600,60000,6,51426,6,1,Place Value,Text,P3Q1_19
34685. The 5 in this number is worth 5. What is the 3 worth?,,3,30000,30,300,3000,30000,1,Place Value,Text,P3Q1_20
35748. The 3 in this number is worth 30000. What is the 4 worth?,,4,40,4000,400,35740,40,1,Place Value,Text,P3Q1_21
68729. The 6 in this number is worth 60000. What is the 9 worth?,,90000,90,900,9,68729,9,1,Place Value,Text,P3Q1_22
16423. The 3 in this number is worth 3. What is the 2 worth?,,16420,2,20000,20,200,20,1,Place Value,Text,P3Q1_23
19438. The 4 in this number is worth 400. What is the 3 worth?,,30000,30,3,19430,300,30,1,Place Value,Text,P3Q1_24
92374. The 3 in this number is worth 300. What is the 9 worth?,,9,9000,90000,90,900,90000,1,Place Value,Text,P3Q1_25
41237. The 4 in this number is worth 40000. What is the 7 worth?,,41237,7,700,70,70000,7,1,Place Value,Text,P3Q1_26
92438. The 3 in this number is worth 30. What is the 9 worth?,,90000,900,9,9000,90,90000,1,Place Value,Text,P3Q1_27
42691. The 1 in this number is worth 1. What is the 4 worth?,,4000,40,4,400,40000,40000,1,Place Value,Text,P3Q1_28
83721. The 8 in this number is worth 80000. What is the 2 worth?,,200,20,2,2000,83720,20,1,Place Value,Text,P3Q1_29
61275. The 6 in this number is worth 60000. What is the 5 worth?,,5000,50000,50,61275,5,5,1,Place Value,Text,P3Q1_30
78213. The 3 in this number is worth 3. What is the 8 worth?,,800,8,80000,78000,8000,8000,1,Place Value,Text,P3Q1_31
25871. The 5 in this number is worth 5000. What is the 8 worth?,,8000,8,25800,800,80,800,1,Place Value,Text,P3Q1_32
86257. The 7 in this number is worth 7. What is the 6 worth?,,60000,6,600,86000,6000,6000,1,Place Value,Text,P3Q1_33
87365. The 3 in this number is worth 300. What is the 8 worth?,,8000,8,80,80000,800,80000,1,Place Value,Text,P3Q1_34
65927. The 5 in this number is worth 5000. What is the 7 worth?,,7000,70000,65927,7,70,7,1,Place Value,Text,P3Q1_35
58632. The 5 in this number is worth 50000. What is the 2 worth?,,58632,2,20,200,20000,2,1,Place Value,Text,P3Q1_36
14263. The 3 in this number is worth 3. What is the 4 worth?,,14000,4000,400,4,40000,4000,1,Place Value,Text,P3Q1_37
29571. The 1 in this number is worth 1. What is the 2 worth?,,20,20000,2,200,2000,20000,1,Place Value,Text,P3Q1_38
29567. The 7 in this number is worth 7. What is the 5 worth?,,29500,50,5000,5,500,500,1,Place Value,Text,P3Q1_39
28914. The 9 in this number is worth 900. What is the 2 worth?,,2,200,2000,20000,20,20000,1,Place Value,Text,P3Q1_40
62947. The 4 in this number is worth 40. What is the 9 worth?,,90,62900,9,9000,900,900,1,Place Value,Text,P3Q1_41
41657. The 1 in this number is worth 1000. What is the 4 worth?,,40000,4000,4,400,40,40000,1,Place Value,Text,P3Q1_42
54267. The 2 in this number is worth 200. What is the 6 worth?,,6000,60,6,600,54260,60,1,Place Value,Text,P3Q1_43
21845. The 2 in this number is worth 20000. What is the 4 worth?,,40000,40,4,400,21840,40,1,Place Value,Text,P3Q1_44
47526. The 7 in this number is worth 7000. What is the 4 worth?,,4000,40000,400,4,40,40000,1,Place Value,Text,P3Q1_45
87943. The 7 in this number is worth 7000. What is the 9 worth?,,90,9000,900,9,87900,900,1,Place Value,Text,P3Q1_46
83294. The 4 in this number is worth 4. What is the 8 worth?,,80000,8000,8,80,800,80000,1,Place Value,Text,P3Q1_47
59631. The 3 in this number is worth 30. What is the 1 worth?,,59631,10000,10,1000,1,1,1,Place Value,Text,P3Q1_48
34671. The 7 in this number is worth 70. What is the 6 worth?,,34600,6,6000,600,60,600,1,Place Value,Text,P3Q1_49
75924. The 2 in this number is worth 20. What is the 7 worth?,,70,7000,700,7,70000,70000,1,Place Value,Text,P3Q1_50
Which value does the 1 in 42913 represent?,,5508,1,100,378,10,10,1,Place Value,Multiple Choice,P4Q1_1
Which value does the 3 in 30874 represent?,,300000,30000,300,3,30,30000,1,Place Value,Multiple Choice,P4Q1_2
Which value does the 9 in 96841 represent?,,90,90000,900,9,900000,90000,1,Place Value,Multiple Choice,P4Q1_3
Which value does the 2 in 76152 represent?,,200,2,20,1606,3195,2,1,Place Value,Multiple Choice,P4Q1_4
Which value does the 6 in 36029 represent?,,60000,600,60,6,6000,6000,1,Place Value,Multiple Choice,P4Q1_5
Which value does the 1 in 71042 represent?,,10,1,10000,1000,100,1000,1,Place Value,Multiple Choice,P4Q1_6
Which value does the 2 in 31298 represent?,,2,2000,8836,20,200,200,1,Place Value,Multiple Choice,P4Q1_7
Which value does the 4 in 74698 represent?,,400,4,4000,40,40000,4000,1,Place Value,Multiple Choice,P4Q1_8
Which value does the 8 in 90867 represent?,,367,8,80,8000,800,800,1,Place Value,Multiple Choice,P4Q1_9
Which value does the 4 in 30487 represent?,,4000,4,3768,40,400,400,1,Place Value,Multiple Choice,P4Q1_10
Which value does the 2 in 82710 represent?,,2000,2,200,20,20000,2000,1,Place Value,Multiple Choice,P4Q1_11
Which value does the 3 in 16384 represent?,,300,5662,3000,30,3,300,1,Place Value,Multiple Choice,P4Q1_12
Which value does the 9 in 56392 represent?,,215,90,900,612,9,90,1,Place Value,Multiple Choice,P4Q1_13
Which value does the 7 in 12497 represent?,,2624,7,70,6315,700,7,1,Place Value,Multiple Choice,P4Q1_14
Which value does the 4 in 40562 represent?,,400,400000,40000,4,40,40000,1,Place Value,Multiple Choice,P4Q1_15
Which value does the 1 in 34617 represent?,,1113,10,1,100,780,10,1,Place Value,Multiple Choice,P4Q1_16
Which value does the 4 in 16804 represent?,,1948,4,2952,400,40,4,1,Place Value,Multiple Choice,P4Q1_17
Which value does the 5 in 90581 represent?,,3404,500,5000,50,5,500,1,Place Value,Multiple Choice,P4Q1_18
Which value does the 8 in 48760 represent?,,8000,8,80,80000,800,8000,1,Place Value,Multiple Choice,P4Q1_19
Which value does the 5 in 25134 represent?,,5000,5,50000,50,500,5000,1,Place Value,Multiple Choice,P4Q1_20
Which value does the 4 in 34590 represent?,,40000,4000,4,40,400,4000,1,Place Value,Multiple Choice,P4Q1_21
Which value does the 9 in 95081 represent?,,9,900000,90,900,90000,90000,1,Place Value,Multiple Choice,P4Q1_22
Which value does the 3 in 87390 represent?,,3,3000,300,8526,30,300,1,Place Value,Multiple Choice,P4Q1_23
Which value does the 7 in 81047 represent?,,4739,7,5055,700,70,7,1,Place Value,Multiple Choice,P4Q1_24
Which value does the 8 in 75816 represent?,,800,8000,5715,80,8,800,1,Place Value,Multiple Choice,P4Q1_25
Which value does the 3 in 56073 represent?,,8041,3103,300,3,30,3,1,Place Value,Multiple Choice,P4Q1_26
Which value does the 5 in 21659 represent?,,5,3349,50,500,2880,50,1,Place Value,Multiple Choice,P4Q1_27
Which value does the 2 in 42597 represent?,,2000,200,2,20,20000,2000,1,Place Value,Multiple Choice,P4Q1_28
Which value does the 5 in 52617 represent?,,50000,50,500,5,500000,50000,1,Place Value,Multiple Choice,P4Q1_29
Which value does the 4 in 83046 represent?,,400,1439,40,4,4966,40,1,Place Value,Multiple Choice,P4Q1_30
Which value does the 7 in 81793 represent?,,700,7000,7,70,1739,700,1,Place Value,Multiple Choice,P4Q1_31
Which value does the 4 in 45701 represent?,,40,4,400,400000,40000,40000,1,Place Value,Multiple Choice,P4Q1_32
Which value does the 7 in 16739 represent?,,700,2349,70,7,7000,700,1,Place Value,Multiple Choice,P4Q1_33
Which value does the 1 in 12560 represent?,,10000,100,100000,1,10,10000,1,Place Value,Multiple Choice,P4Q1_34
Which value does the 6 in 61245 represent?,,600,600000,60000,60,6,60000,1,Place Value,Multiple Choice,P4Q1_35
Which value does the 7 in 87460 represent?,,7,7000,70000,700,70,7000,1,Place Value,Multiple Choice,P4Q1_36
Which value does the 4 in 41079 represent?,,4,400,40000,40,400000,40000,1,Place Value,Multiple Choice,P4Q1_37
Which value does the 1 in 41065 represent?,,1000,10000,1,100,10,1000,1,Place Value,Multiple Choice,P4Q1_38
Which value does the 9 in 73986 represent?,,6055,9000,9,90,900,900,1,Place Value,Multiple Choice,P4Q1_39
Which value does the 2 in 47320 represent?,,20,2,6384,3843,200,20,1,Place Value,Multiple Choice,P4Q1_40
Which value does the 6 in 25360 represent?,,6,600,60,5316,4407,60,1,Place Value,Multiple Choice,P4Q1_41
Which value does the 3 in 52837 represent?,,2661,30,300,115,3,30,1,Place Value,Multiple Choice,P4Q1_42
Which value does the 1 in 93521 represent?,,100,1,10,2738,4825,1,1,Place Value,Multiple Choice,P4Q1_43
Which value does the 9 in 95140 represent?,,90000,9,90,900,900000,90000,1,Place Value,Multiple Choice,P4Q1_44
Which value does the 4 in 83764 represent?,,4,6177,5186,400,40,4,1,Place Value,Multiple Choice,P4Q1_45
Which value does the 6 in 63409 represent?,,60,600000,60000,600,6,60000,1,Place Value,Multiple Choice,P4Q1_46
Which value does the 1 in 60187 represent?,,100,1000,1,7412,10,100,1,Place Value,Multiple Choice,P4Q1_47
Which value does the 8 in 83650 represent?,,80,80000,8,800000,800,80000,1,Place Value,Multiple Choice,P4Q1_48
Which value does the 1 in 92185 represent?,,1,100,7021,1000,10,100,1,Place Value,Multiple Choice,P4Q1_49
Which value does the 8 in 17689 represent?,,6229,800,62,80,8,80,1,Place Value,Multiple Choice,P4Q1_50
The graph below shows the number of toys sold on five days. How many more toys were sold on Fri than on Thu?,P2Q2_1.png,86,108,105,85,95,95,2,Data Handling,Multiple Choice,P2Q2_1
The graph below shows the number of books sold on five days. How many more books were sold on Thu than on Mon?,P2Q2_2.png,50,60,58,44,40,50,2,Data Handling,Multiple Choice,P2Q2_2
The graph below shows the number of toys sold on five days. How many more toys were sold on Fri than on Mon?,P2Q2_3.png,34,35,25,19,15,25,2,Data Handling,Multiple Choice,P2Q2_3
The graph below shows the number of pies sold on five days. How many more pies were sold on Fri than on Tue?,P2Q2_4.png,76,85,75,78,95,85,2,Data Handling,Multiple Choice,P2Q2_4
The graph below shows the number of tickets sold on five days. How many more tickets were sold on Mon than on Thu?,P2Q2_5.png,1,3,5,4,7,5,2,Data Handling,Multiple Choice,P2Q2_5
The graph below shows the number of books sold on five days. How many more books were sold on Thu than on Mon?,P2Q2_6.png,90,75,80,70,71,80,2,Data Handling,Multiple Choice,P2Q2_6
The graph below shows the number of pies sold on five days. How many more pies were sold on Mon than on Tue?,P2Q2_7.png,106,85,103,95,105,95,2,Data Handling,Multiple Choice,P2Q2_7
The graph below shows the number of tickets sold on five days. How many more tickets were sold on Fri than on Wed?,P2Q2_8.png,60,50,64,70,49,60,2,Data Handling,Multiple Choice,P2Q2_8
The graph below shows the number of tickets sold on five days. How many more tickets were sold on Tue than on Fri?,P2Q2_9.png,50,60,58,40,47,50,2,Data Handling,Multiple Choice,P2Q2_9
The graph below shows the number of pies sold on five days. How many more pies were sold on Fri than on Thu?,P2Q2_10.png,25,15,16,40,35,25,2,Data Handling,Multiple Choice,P2Q2_10
The graph below shows the number of pies sold on five days. How many more pies were sold on Tue than on Mon?,P2Q2_11.png,38,35,40,25,15,25,2,Data Handling,Multiple Choice,P2Q2_11
The graph below shows the number of trees sold on five days. How many more trees were sold on Tue than on Fri?,P2Q2_12.png,11,5,1,9,7,5,2,Data Handling,Multiple Choice,P2Q2_12
The graph below shows the number of toys sold on five days. How many more toys were sold on Mon than on Fri?,P2Q2_13.png,10,23,30,20,16,20,2,Data Handling,Multiple Choice,P2Q2_13
The graph below shows the number of pies sold on five days. How many more pies were sold on Tue than on Thu?,P2Q2_14.png,35,40,22,20,30,30,2,Data Handling,Multiple Choice,P2Q2_14
The graph below shows the number of tickets sold on five days. How many more tickets were sold on Wed than on Mon?,P2Q2_15.png,30,37,35,40,20,30,2,Data Handling,Multiple Choice,P2Q2_15
The graph below shows the number of tickets sold on five days. How many more tickets were sold on Wed than on Tue?,P2Q2_16.png,75,89,61,69,84,75,2,Data Handling,Multiple Choice,P2Q2_16
The graph below shows the number of trees sold on five days. How many more trees were sold on Thu than on Mon?,P2Q2_17.png,65,44,59,55,45,55,2,Data Handling,Multiple Choice,P2Q2_17
The graph below shows the number of toys sold on five days. How many more toys were sold on Fri than on Mon?,P2Q2_18.png,60,80,64,77,70,70,2,Data Handling,Multiple Choice,P2Q2_18
The graph below shows the number of toys sold on five days. How many more toys were sold on Fri than on Thu?,P2Q2_19.png,22,35,25,15,28,25,2,Data Handling,Multiple Choice,P2Q2_19
The graph below shows the number of trees sold on five days. How many more trees were sold on Wed than on Fri?,P2Q2_20.png,6,21,25,15,5,15,2,Data Handling,Multiple Choice,P2Q2_20
This graph shows the number of books borrowed at the library. How many more books were borrowed in Apr than in Feb?,P3Q2_1.png,15,40,10,25,20,20,2,Data Handling,Multiple Choice,P3Q2_1
This graph shows the number of cakes baked at the bakery. How many more cakes were baked in Sam than in Ali?,P3Q2_2.png,60,110,50,30,80,50,2,Data Handling,Multiple Choice,P3Q2_2
This graph shows the number of points earned at a quiz. How many more points were earned in Rd 2 than in Rd 3?,P3Q2_3.png,22,16,2,20,18,18,2,Data Handling,Multiple Choice,P3Q2_3
This graph shows the number of books borrowed at the library. How many more books were borrowed in Apr than in Feb?,P3Q2_4.png,40,10,30,50,25,30,2,Data Handling,Multiple Choice,P3Q2_4
This graph shows the number of cars washed at the fundraiser. How many more cars were washed in Blue than in Yellow?,P3Q2_5.png,30,10,12,8,20,10,2,Data Handling,Multiple Choice,P3Q2_5
This graph shows the number of points earned at a quiz. How many more points were earned in Rd 1 than in Rd 4?,P3Q2_6.png,1,5,15,10,25,5,2,Data Handling,Multiple Choice,P3Q2_6
The chart shows the visitors recorded over four different times. What is the difference between the number of visitors for 11am and 12pm?,P3Q2_7.png,60,130,40,50,90,50,2,Data Handling,Multiple Choice,P3Q2_7
The chart shows the books borrowed over four different times. What is the difference between the number of books for Feb and Jan?,P3Q2_8.png,30,75,50,20,25,25,2,Data Handling,Multiple Choice,P3Q2_8
The chart shows the cakes baked over four different times. What is the difference between the number of cakes for Pat and Jo?,P3Q2_9.png,50,100,60,150,40,50,2,Data Handling,Multiple Choice,P3Q2_9
This graph shows the number of computer games sold at a shop. How many more computer games were sold in Week 3 than in Week 4?,P3Q2_10.png,70,40,30,10,20,10,2,Data Handling,Multiple Choice,P3Q2_10
The chart shows the cars washed over four different times. What is the difference between the number of cars for Red and Blue?,P3Q2_11.png,22,14,4,8,6,6,2,Data Handling,Multiple Choice,P3Q2_11
The chart shows the visitors recorded over four different times. What is the difference between the number of visitors for 12pm and 1pm?,P3Q2_12.png,100,40,50,60,30,40,2,Data Handling,Multiple Choice,P3Q2_12
The chart shows the books borrowed over four different times. What is the difference between the number of books for Apr and Feb?,P3Q2_13.png,90,170,10,20,80,10,2,Data Handling,Multiple Choice,P3Q2_13
The chart shows the goals scored over four different times. What is the difference between the number of goals for Game 4 and Game 2?,P3Q2_14.png,20,30,40,10,70,10,2,Data Handling,Multiple Choice,P3Q2_14
This graph shows the number of books borrowed at the library. How many more books were borrowed in Mar than in Apr?,P3Q2_15.png,50,10,15,40,90,10,2,Data Handling,Multiple Choice,P3Q2_15
The chart shows the cars washed over four different times. What is the difference between the number of cars for Blue and Yellow?,P3Q2_16.png,40,30,10,55,35,35,2,Data Handling,Multiple Choice,P3Q2_16
This graph shows the number of visitors recorded at the museum. How many more visitors were recorded in 1pm than in 10am?,P3Q2_17.png,100,30,70,80,130,70,2,Data Handling,Multiple Choice,P3Q2_17
This graph shows the number of visitors recorded at the museum. How many more visitors were recorded in 12pm than in 1pm?,P3Q2_18.png,8,6,10,12,2,8,2,Data Handling,Multiple Choice,P3Q2_18
The chart shows the goals scored over four different times. What is the difference between the number of goals for Game 4 and Game 2?,P3Q2_19.png,20,11,5,10,15,10,2,Data Handling,Multiple Choice,P3Q2_19
The chart shows the books borrowed over four different times. What is the difference between the number of books for Mar and Feb?,P3Q2_20.png,20,50,30,7,10,10,2,Data Handling,Multiple Choice,P3Q2_20
"The graph shows the number of trees sold on five days.
How many more trees were sold on Fri than on Tues?",P4Q2_1.png,50,60,49,40,48,50,2,Data Handling,Multiple Choice,P4Q2_1
"The graph shows the number of burgers sold on five days.
How many more burgers were sold on Wed than on Thu?",P4Q2_2.png,77,73,175,75,70,75,2,Data Handling,Multiple Choice,P4Q2_2
"The graph shows the number of tickets sold on five days.
How many more tickets were sold on Tues than on Thu?",P4Q2_3.png,65,75,175,70,77,75,2,Data Handling,Multiple Choice,P4Q2_3
"The graph shows the number of tickets sold on five days.
How many more tickets were sold on Wed than on Fri?",P4Q2_4.png,50,60,51,40,49,50,2,Data Handling,Multiple Choice,P4Q2_4
"The graph shows the number of trees sold on five days.
How many more trees were sold on Wed than on Mon?",P4Q2_5.png,76,75,70,85,175,75,2,Data Handling,Multiple Choice,P4Q2_5
"The graph shows the number of trees sold on five days.
How many more trees were sold on Fri than on Thu?",P4Q2_6.png,125,127,130,225,126,125,2,Data Handling,Multiple Choice,P4Q2_6
"The graph shows the number of tickets sold on five days.
How many more tickets were sold on Tues than on Mon?",P4Q2_7.png,52,48,51,50,55,50,2,Data Handling,Multiple Choice,P4Q2_7
"The graph shows the number of tickets sold on five days.
How many more tickets were sold on Tues than on Fri?",P4Q2_8.png,100,90,95,105,102,100,2,Data Handling,Multiple Choice,P4Q2_8
"The graph shows the number of toys sold on five days.
How many more toys were sold on Thu than on Wed?",P4Q2_9.png,23,125,26,25,30,25,2,Data Handling,Multiple Choice,P4Q2_9
"The graph shows the number of tickets sold on five days.
How many more tickets were sold on Mon than on Thu?",P4Q2_10.png,110,105,98,95,100,100,2,Data Handling,Multiple Choice,P4Q2_10
"The graph shows the number of tickets sold on five days.
How many more tickets were sold on Tues than on Thu?",P4Q2_11.png,27,24,25,125,23,25,2,Data Handling,Multiple Choice,P4Q2_11
"The graph shows the number of books sold on five days.
How many more books were sold on Mon than on Thu?",P4Q2_12.png,50,40,60,51,52,50,2,Data Handling,Multiple Choice,P4Q2_12
"The graph shows the number of books sold on five days.
How many more books were sold on Mon than on Thu?",P4Q2_13.png,175,75,76,70,80,75,2,Data Handling,Multiple Choice,P4Q2_13
"The graph shows the number of toys sold on five days.
How many more toys were sold on Mon than on Tues?",P4Q2_14.png,25,27,15,20,30,25,2,Data Handling,Multiple Choice,P4Q2_14
"The graph shows the number of tickets sold on five days.
How many more tickets were sold on Mon than on Tues?",P4Q2_15.png,26,23,35,25,125,25,2,Data Handling,Multiple Choice,P4Q2_15
"The graph shows the number of toys sold on five days.
How many more toys were sold on Thu than on Fri?",P4Q2_16.png,25,30,24,35,23,25,2,Data Handling,Multiple Choice,P4Q2_16
"The graph shows the number of burgers sold on five days.
How many more burgers were sold on Mon than on Wed?",P4Q2_17.png,25,20,27,125,15,25,2,Data Handling,Multiple Choice,P4Q2_17
"The graph shows the number of books sold on five days.
How many more books were sold on Fri than on Wed?",P4Q2_18.png,74,85,75,70,77,75,2,Data Handling,Multiple Choice,P4Q2_18
"The graph shows the number of burgers sold on five days.
How many more burgers were sold on Thu than on Fri?",P4Q2_19.png,125,25,24,35,20,25,2,Data Handling,Multiple Choice,P4Q2_19
"The graph shows the number of trees sold on five days.
How many more trees were sold on Fri than on Tues?",P4Q2_20.png,20,24,27,25,30,25,2,Data Handling,Multiple Choice,P4Q2_20
"In a class of 16 children, 1/2 of them like swimming. How many children do NOT like swimming?",,8,10,4,3,12,8,3,Fractions,Multiple Choice,P2Q3_1
"In a class of 21 children, 2/3 of them like painting. How many children do NOT like painting?",,1,7,9,14,6,7,3,Fractions,Multiple Choice,P2Q3_2
"In a class of 18 children, 2/3 of them like swimming. How many children do NOT like swimming?",,6,12,13,9,7,6,3,Fractions,Multiple Choice,P2Q3_3
"In a class of 30 children, 1/3 of them like swimming. How many children do NOT like swimming?",,23,24,10,6,20,20,3,Fractions,Multiple Choice,P2Q3_4
