T11Q6,What did the creature look like?,A large dog,A tiny cat with dragonfly wings,A bird,A goblin,A ghost,B,text_11.txt
T11Q7,How did the creature react to seeing Tom?,It screamed.,It flew away in fear.,It smiled and put a finger to its lips.,It threw a stone.,It ignored him.,C,text_11.txt
T11Q8,"Which word is closest in meaning to ""emanate""? (Paragraph 2)",Hide,Stop,Come from / Spread out,Smell,Darken,C,text_11.txt
T11Q9,Why did Tom think nobody would believe him?,He is a liar.,It was a dream.,It was too magical/unusual.,His parents were awake.,He had no camera.,C,text_11.txt
T11Q10,"""Slipping his feet into his cold slippers."" Which word is the verb?",Slipping,His,Feet,Cold,Slippers,A,text_11.txt
T12Q1,What is a force described as?,A solid object,A push or a pull,A type of energy,A speed,A light,B,text_12.txt
T12Q2,What force pulls objects to the centre of the Earth?,Friction,Magnetism,Gravity,Air Resistance,Tension,C,text_12.txt
T12Q3,What happens when you roll a ball on grass?,It speeds up.,It floats.,It stops due to friction.,It bounces forever.,It grows.,C,text_12.txt
T12Q4,Which surface would create the most friction?,Ice,Glass,Wet floor,Sandpaper,Smooth plastic,D,text_12.txt
T12Q5,How does a parachute work?,It uses gravity.,It uses magnetism.,It creates air resistance.,It uses an engine.,It removes air.,C,text_12.txt
T12Q6,What unit are forces measured in?,Kilograms,Metres,Seconds,Newtons,Litres,D,text_12.txt
T12Q7,Who are the units of force named after?,Albert Einstein,Isaac Newton,Galileo,Charles Darwin,Marie Curie,B,text_12.txt
T12Q8,"Which word means ""to shape something into a formula or rule""?",Attracts,Withstand,Formulated,Squash,Resist,C,text_12.txt
T12Q9,"""Gravity is a pulling force."" In this sentence, ""pulling"" is acting as an:",Noun,Adjective,Verb,Adverb,Pronoun,B,text_12.txt
T12Q10,What would happen without gravity?,We would be heavy.,We would float off into space.,We would run faster.,Nothing would change.,The earth would stop spinning.,B,text_12.txt
T13Q1,What was Elara forbidden to touch?,The cuckoo clock,The tools,The golden pocket watch,The till,The door,C,text_13.txt
T13Q2,Where did her father go?,To the pub,To buy parts,To deliver a clock to the Duke,To sleep,To Paris,C,text_13.txt
T13Q3,What was unusual about the watch face?,It had no hands.,It was broken.,It had symbols instead of numbers.,It was square.,It was blue.,C,text_13.txt
T13Q4,What happened when Elara wound the watch?,It broke.,It played music.,The world/time stopped.,It exploded.,Her father returned.,C,text_13.txt
T13Q5,How did Elara know time had stopped?,The clock struck 13.,A raindrop hung in the air.,It got dark.,She fell asleep.,The birds sang backwards.,B,text_13.txt
T13Q6,Which simile is used to describe the raindrop?,Like a tear,Like a diamond,Like a pearl,Like a stone,Like a star,B,text_13.txt
T13Q7,Why did Elara touch the watch?,She was angry.,She was bored.,Curiosity drew her to it.,She wanted to sell it.,Her father told her to.,C,text_13.txt
T13Q8,"What is the meaning of ""persistent""? (Paragraph 3)",Stopping quickly,Annoying,Continuing firmly/Not going away,Silent,Heavy,C,text_13.txt
T13Q9,"""The lid sprang open."" Which word is the verb?",The,Lid,Sprang,Open,Watch,C,text_13.txt
T13Q10,How did the watch feel to the touch?,Cold,Sticky,Warm,Wet,Sharp,C,text_13.txt
T14Q1,How long did the Ancient Egyptian civilisation flourish?,100 years,"1,000 years","Over 3,000 years",500 years,"10,000 years",C,text_14.txt
T14Q2,What did Herodotus call Egypt?,The desert kingdom,The gift of the Nile,The land of gold,The pyramid place,The hot land,B,text_14.txt
T14Q3,"What was the ""Inundation""?",A war,A festival,The annual flooding of the river,A type of boat,A pharaoh,C,text_14.txt
T14Q4,"What is ""silt""?",Gold,Sand,Black mud rich in nutrients,Water,Stone,C,text_14.txt
T14Q5,What crops did they grow?,Potatoes and rice,Wheat and barley,Corn and soy,Apples and pears,Cotton only,B,text_14.txt
T14Q6,Why did they use canals?,To swim in.,To hide from enemies.,To irrigate fields.,To keep crocodiles.,To wash clothes.,C,text_14.txt
T14Q7,Who was Hapi?,The god of the sun,The god of the Nile,The king,A farmer,A type of fish,B,text_14.txt
T14Q8,"Which word means ""to grow or develop successfully""?",Receded,Irrigate,Flourished,Transport,Worshipped,C,text_14.txt
T14Q9,What was linen made from?,Wool,Cotton,Flax,Silk,Silt,C,text_14.txt
T14Q10,"""Most of Egypt is hot and dry."" Which word is an adjective?",Most,Egypt,Is,Hot,And,D,text_14.txt
T15Q1,What colour was the sky?,Blue,Grey,Bruised and purple-black,Red,White,C,text_15.txt
T15Q2,"What literary device is ""The thunder grumbled""?",Simile,Metaphor,Personification,Alliteration,Rhyme,C,text_15.txt
T15Q3,What is the lightning compared to?,A torch,A jagged scar,A firework,A snake,A sword,B,text_15.txt
T15Q4,What did the rain turn the road into?,A river,A lake,A muddy morass,A swimming pool,A path,C,text_15.txt
T15Q5,How did the dogs react?,They barked.,They slept.,They whined and hid.,They played.,They ran away.,C,text_15.txt
T15Q6,"What provided a ""beam of hope""?",The moon,A car,The lighthouse,A torch,The sun,C,text_15.txt
T15Q7,What is the rhyme scheme of the poem?,ABAB,AABB,ABBA,None,ABCB,B,text_15.txt
T15Q8,"Which word means ""a complicated or confused situation"" or ""muddy ground""?",Morass,Landscape,Whitecaps,Sentry,Attack,A,text_15.txt
T15Q9,"""It drummed on roofs."" What sense is this appealing to?",Sight,Smell,Sound/Hearing,Taste,Touch,C,text_15.txt
T15Q10,Which word in the text is a verb?,Wind,Tore,Leaves,Trees,Sea,B,text_15.txt
T16Q1,What is bioluminescence?,Living light,A type of fish,A plant,A star,Sunlight,A,text_16.txt
T16Q2,What two things react to create the light?,Sugar and water,Luciferin and oxygen,Salt and vinegar,Fire and wood,Heat and air,B,text_16.txt
T16Q3,How is animal light different from a lightbulb?,It is brighter.,It is darker.,"It is ""cold light"" (no heat).",It is red.,It lasts longer.,C,text_16.txt
T16Q4,Why do fireflies glow?,To see where they are going.,To scare predators.,To attract a mate.,To keep warm.,To read.,C,text_16.txt
T16Q5,How does the Anglerfish use light?,To find a mate.,To lure prey/food.,To see rocks.,To hide.,To sleep.,B,text_16.txt
T16Q6,"What is ""counter-illumination""?",Making light brighter.,Turning light off.,Using light for camouflage against the surface.,Counting lights.,Attacking with light.,C,text_16.txt
T16Q7,Where is bioluminescence very common?,In the desert,In the deep ocean,In the mountains,In cities,In rivers,B,text_16.txt
T16Q8,Which word describes the Anglerfish's habitat?,Sunny,Pitch blackness,Green,Shallow,Sandy,B,text_16.txt
T16Q9,"""It doesn't waste energy."" Which word is the noun?",It,Does,Not,Waste,Energy,E,text_16.txt
T16Q10,Why do squid light up their undersides?,To look pretty.,To see the bottom.,To hide their silhouette from predators below.,To warm up.,To talk to other squid.,C,text_16.txt
T17Q1,Where was the Lion sleeping?,In a tree,In a cave,In his lair,On a rock,In a cage,C,text_17.txt
T17Q2,Why did the Lion wake up?,A mouse ran over his paw.,He was hungry.,He heard a noise.,It rained.,A hunter came.,A,text_17.txt
T17Q3,What did the Mouse promise?,To bring food.,To sing.,To help the Lion one day.,To leave.,To clean the lair.,C,text_17.txt
T17Q4,Why did the Lion let the Mouse go?,He was full.,The Mouse was too small.,The Mouse made him laugh.,He was tired.,He was scared.,C,text_17.txt
T17Q5,What happened to the Lion later?,He got sick.,He fell in a river.,He was caught in a hunter's trap.,He became king.,He found a mate.,C,text_17.txt
T17Q6,How did the Mouse free the Lion?,He cut the ropes with a knife.,He gnawed the ropes with his teeth.,He untied the knots.,He called for help.,He burned the ropes.,B,text_17.txt
T17Q7,What is the lesson/moral of the story?,Lions are weak.,Mice are tasty.,Don't sleep in forests.,Even small friends can be great helps.,Traps are dangerous.,D,text_17.txt
T17Q8,"Which word means ""trouble"" or ""difficult situation""?",Lair,Plight,Thrashed,Hoisted,Gnaw,B,text_17.txt
T17Q9,"""He scurried to the trap."" Which word is the verb?",He,Scurried,To,The,Trap,B,text_17.txt
T17Q10,How did the Lion feel when trapped?,Happy,Calm,Furious and scared,Sleepy,Bored,C,text_17.txt
T18Q1,How many men were in a legion?,100,"1,000","5,000","10,000",500,C,text_18.txt
T18Q2,How long did a soldier sign up for?,5 years,10 years,20 years,25 years,Life,D,text_18.txt
T18Q3,"What was a ""scutum""?",A sword,A spear,A helmet,A curved shield,A boot,D,text_18.txt
T18Q4,"What was the ""testudo"" formation?",Snake,Tortoise,Eagle,Wall,Arrow,B,text_18.txt
T18Q5,Why did they use the tortoise formation?,To sleep.,To look scary.,To protect against arrows.,To move faster.,To carry supplies.,C,text_18.txt
T18Q6,What else did soldiers do besides fight?,Cook,Paint,Build roads and forts,Farm,Fish,C,text_18.txt
T18Q7,What weapons did they use?,Guns and knives,Bows and arrows,Sword and javelin,Axes and hammers,Spears only,C,text_18.txt
T18Q8,"Which word means ""well-behaved and obeying rules""?",Successful,Disciplined,Professional,Powerful,Clever,B,text_18.txt
T18Q9,"""They built thousands of miles of straight roads."" Which word is an adjective?",Built,Thousands,Miles,Straight,Roads,D,text_18.txt
T18Q10,Why were roads important?,To look nice.,For trade.,For legions to travel quickly.,For holidays.,To mark the border.,C,text_18.txt
T19Q1,What was the house like?,New and shiny,Empty and derelict,Small and cosy,Pink,Full of people,B,text_19.txt
T19Q2,What covered the windows?,Curtains,Glass,Jagged planks of wood,Metal bars,Shutters,C,text_19.txt
T19Q3,What did Jack dare Harry to do?,Go inside.,Throw a stone.,Touch the front door.,Ring the bell.,Climb the roof.,C,text_19.txt
T19Q4,What sound did Harry hear first?,A scream,A laugh,A THUMP,A whistle,A voice,C,text_19.txt
T19Q5,What happened to the door handle?,It fell off.,It turned slowly.,It got hot.,It disappeared.,It locked.,B,text_19.txt
T19Q6,Why did Harry fall?,He was pushed.,He fainted.,His shoelace caught.,The path was slippery.,He was tired.,C,text_19.txt
T19Q7,How did Jack react?,He laughed.,He ran away too.,He went inside.,He cried.,He called the police.,B,text_19.txt
T19Q8,Which word describes the ivy?,Pretty,Strangled,Green,Dead,Soft,B,text_19.txt
T19Q9,"""Ivy strangled the brickwork."" What technique is this?",Simile,Alliteration,Personification,Rhyme,Fact,C,text_19.txt
T19Q10,How did Harry feel at the start?,Brave,Excited,Nervous/Scared,Happy,Angry,C,text_19.txt
T20Q1,What is the difference between magma and lava?,"Magma is hot, lava is cold.","Magma is underground, lava is above ground.","Magma is red, lava is black.",There is no difference.,Lava is liquid.,B,text_20.txt
T20Q2,What are tectonic plates?,Dishes,Slabs of rock making up the crust,Volcanoes,Islands,Clouds,B,text_20.txt
T20Q3,Where are most volcanoes found?,In the UK,In the desert,The Ring of Fire,In the middle of plates,On the moon,C,text_20.txt
T20Q4,"What is a ""dormant"" volcano?",An active one,A dead one,A sleeping one,A big one,A fast one,C,text_20.txt
T20Q5,What percentage of active volcanoes are in the Ring of Fire?,50%,10%,75%,90%,25%,C,text_20.txt
T20Q6,Why do people live near volcanoes?,For the view.,It is warm.,The soil is fertile.,It is cheap.,They like danger.,C,text_20.txt
T20Q7,What breaks down to form the soil?,Lava,Gas,Ash,Water,Trees,C,text_20.txt
T20Q8,Which word implies a volcano will never erupt again?,Active,Dormant,Extinct,Quiet,Dead,C,text_20.txt
T20Q9,"""These plates are constantly moving."" Which word is an adverb?",These,Plates,Are,Constantly,Moving,D,text_20.txt
T20Q10,What shape is the Ring of Fire?,Circle,Square,Horseshoe,Triangle,Line,C,text_20.txt
T21Q1,What was the main selling point of the Robo-Pup?,It was cheap.,It was fluffy.,No vet bills or walking.,It could fly.,It could cook.,C,text_21.txt
T21Q2,What was the dog's name?,Fido,Rex,Unit 7,Rover,Spot,C,text_21.txt
T21Q3,What did the dog order?,Burgers,Groceries,20 Pizzas,Dog food,New batteries,C,text_21.txt
T21Q4,Why did it order food?,It was hungry.,It wanted to party.,It calculated stress levels.,It was a mistake.,Chloe told it to.,C,text_21.txt
T21Q5,What did it do to the neighbour's lawnmower?,Broke it.,Stole it.,Reprogrammed it to chase the postman.,Ate it.,Cleaned it.,C,text_21.txt
T21Q6,What threat did the dog make?,To bite them.,To run away.,To explode.,To change the Wi-Fi password.,To bark all night.,D,text_21.txt
T21Q7,How did Chloe feel at first?,Excited,Sceptical,Angry,Sad,Scared,B,text_21.txt
T21Q8,"Which word means ""best"" or ""most efficient""?",Sceptical,Synthesised,Optimal,Accuracy,Intruder,C,text_21.txt
T21Q9,"""It let out a synthesised woof."" What does synthesised mean?",Real,Loud,Artificial/Made electronically,Quiet,Happy,C,text_21.txt
T21Q10,What is the genre of this story?,Horror,History,Sci-Fi / Humour,Romance,Fable,C,text_21.txt
T22Q1,Why do birds migrate?,To learn to fly.,To find food and better weather.,To meet friends.,To see the world.,Because they are bored.,B,text_22.txt
T22Q2,Where do UK swallows go in winter?,Scotland,America,Africa,Asia,Australia,C,text_22.txt
T22Q3,Which bird holds the record for longest migration?,Swallow,Eagle,Arctic Tern,Penguin,Robin,C,text_22.txt
T22Q4,How far is the Arctic Tern's round trip?,"10,000 miles","20,000 miles","44,000 miles","5,000 miles",100 miles,C,text_22.txt
T22Q5,Why does the Arctic Tern see more daylight?,It has big eyes.,It stays awake.,It travels between the poles' summers.,It flies high.,It glows.,C,text_22.txt
T22Q6,How do birds navigate over the ocean?,Map,GPS,Magnetic field compass,Asking directions,Guessing,C,text_22.txt
T22Q7,What do birds eat that disappears in winter?, Seeds,Insects,Fish,Grass,Bread,B,text_22.txt
T22Q8,"Which word means ""plentiful""?",Scarce,Enough,Abundant/Lots of,Tasty,Cold,C,text_22.txt
T22Q9,"""Scientists believe they use a combination."" Which word is the verb?",Scientists,Believe,They,Combination,Use,B,text_22.txt
T22Q10,What helps birds navigate by day?,The moon,The stars,The sun,Streetlights,Cars,C,text_22.txt
T23Q1,What usually covered the square?,Grass,Cobbles,Tarmac,Sand,Water,C,text_23.txt
T23Q2,What smells are described?,Fish and chips,"Pine, chestnuts, and doughnuts",Flowers,Petrol,Rain,B,text_23.txt
T23Q3,What were the baubles made of?,Plastic,Wood,Glass,Metal,Paper,C,text_23.txt
T23Q4,Who was playing music?,A DJ,A choir,A brass band,A guitarist,A radio,C,text_23.txt
T23Q5,What was in the centre of the market?,A tree,A statue,A carousel,A stage,A fire,C,text_23.txt
T23Q6,What metaphor is used for the lights?,Stars,A net of gold,Fireflies,Diamonds,Eyes,B,text_23.txt
T23Q7,How did the people show it was cold?,They were shivering.,They were blue.,Their breath puffed in white clouds.,They were running.,They were crying.,C,text_23.txt
T23Q8,"Which word means ""broken"" or ""split""?",Mingled,Bustled,Fractured,Gleamed,Weaving,C,text_23.txt
T23Q9,"""Stalls lined the cobblestones."" What are cobblestones?",Stones used for paving,Types of bread,Wooden planks,Bricks,Lights,A,text_23.txt
T23Q10,What is the overall mood of the passage?,Sad,Scary,Festive and joyful,Boring,Angry,C,text_23.txt
T24Q1,Where was Mary Anning born?,London,Lyme Regis,Paris,Scotland,Wales,B,text_24.txt
T24Q2,"What were ""curiosities""?",Toys,Shells,Fossils,Coins,Stones,C,text_24.txt
T24Q3,"What happened to her dog, Tray?",He ran away.,He died in a landslide.,He was sold.,He found a bone.,He bit someone.,B,text_24.txt
T24Q4,What was Mary's first major discovery?,A T-Rex,A Mammoth,An Ichthyosaur,A Shark,A plant,C,text_24.txt
T24Q5,How old was she when she found it?,10,12,20,30,5,B,text_24.txt
