id,image_file_name,correct_answer,explanation,difficulty_level
NVR_FA_032,question_32_composite.png,B,"The rule is an inversion of position. The outer shape becomes the inner shape, and the inner shape becomes the outer shape.",Hard
NVR_FA_033,question_33_rotation.png,C,The rule is a rotation. The first shape rotates 180 degrees to become the second shape. Applying this to the third shape gives the answer.,Easy
NVR_FA_034,question_34_style.png,A,The rule is a change in shading. The white shape becomes solid black.,Medium
NVR_FA_035,question_35_composite.png,C,"The rule is an inversion of position. The outer shape becomes the inner shape, and the inner shape becomes the outer shape.",Hard
NVR_FA_036,question_36_rotation.png,D,The rule is a rotation. The first shape rotates 90 degrees anti-clockwise to become the second shape. Applying this to the third shape gives the answer.,Easy
NVR_FA_037,question_37_style.png,C,The rule is a change in shading. The white shape becomes solid black.,Medium
NVR_FA_038,question_38_composite.png,C,"The rule is an inversion of position. The outer shape becomes the inner shape, and the inner shape becomes the outer shape.",Hard
NVR_FA_039,question_39_rotation.png,C,The rule is a rotation. The first shape rotates 90 degrees clockwise to become the second shape. Applying this to the third shape gives the answer.,Easy
NVR_FA_040,question_40_style.png,D,The rule is a change in shading. The white shape becomes solid black.,Medium
NVR_FA_041,question_41_composite.png,A,"The rule is an inversion of position. The outer shape becomes the inner shape, and the inner shape becomes the outer shape.",Hard
NVR_FA_042,question_42_rotation.png,A,The rule is a rotation. The first shape rotates 90 degrees anti-clockwise to become the second shape. Applying this to the third shape gives the answer.,Easy
NVR_FA_043,question_43_style.png,A,The rule is a change in line style. The solid outline changes to a dashed outline.,Medium
NVR_FA_044,question_44_composite.png,C,"The rule is an inversion of position. The outer shape becomes the inner shape, and the inner shape becomes the outer shape.",Hard
NVR_FA_045,question_45_rotation.png,C,The rule is a rotation. The first shape rotates 180 degrees to become the second shape. Applying this to the third shape gives the answer.,Easy
NVR_FA_046,question_46_style.png,B,The rule is a change in line style. The solid outline changes to a dashed outline.,Medium
NVR_FA_047,question_47_composite.png,E,"The rule is an inversion of position. The outer shape becomes the inner shape, and the inner shape becomes the outer shape.",Hard
NVR_FA_048,question_48_rotation.png,B,The rule is a rotation. The first shape rotates 90 degrees anti-clockwise to become the second shape. Applying this to the third shape gives the answer.,Easy
NVR_FA_049,question_49_style.png,B,The rule is a change in shading. The white shape becomes solid black.,Medium
NVR_FA_050,question_50_composite.png,E,"The rule is an inversion of position. The outer shape becomes the inner shape, and the inner shape becomes the outer shape.",Hard
NVR_FA_051,question_51_rotation.png,B,The rule is a rotation. The first shape rotates 90 degrees clockwise to become the second shape. Applying this to the third shape gives the answer.,Easy
NVR_FA_052,question_52_style.png,D,The rule is a change in line style. The solid outline changes to a dashed outline.,Medium
NVR_FA_053,question_53_composite.png,B,"The rule is an inversion of position. The outer shape becomes the inner shape, and the inner shape becomes the outer shape.",Hard
NVR_FA_054,question_54_rotation.png,C,The rule is a rotation. The first shape rotates 90 degrees anti-clockwise to become the second shape. Applying this to the third shape gives the answer.,Easy
NVR_FA_055,question_55_style.png,D,The rule is a change in shading. The white shape becomes solid black.,Medium
NVR_FA_056,question_56_composite.png,B,"The rule is an inversion of position. The outer shape becomes the inner shape, and the inner shape becomes the outer shape.",Hard
NVR_FA_057,question_57_rotation.png,B,The rule is a rotation. The first shape rotates 90 degrees anti-clockwise to become the second shape. Applying this to the third shape gives the answer.,Easy
NVR_FA_058,question_58_style.png,D,The rule is a change in line style. The solid outline changes to a dashed outline.,Medium
NVR_FA_059,question_59_composite.png,E,"The rule is an inversion of position. The outer shape becomes the inner shape, and the inner shape becomes the outer shape.",Hard
NVR_FA_060,question_60_rotation.png,A,The rule is a rotation. The first shape rotates 90 degrees clockwise to become the second shape. Applying this to the third shape gives the answer.,Easy
NVR_FA_061,question_61_style.png,E,The rule is a change in shading. The white shape becomes solid black.,Medium
NVR_FA_062,question_62_composite.png,E,"The rule is an inversion of position. The outer shape becomes the inner shape, and the inner shape becomes the outer shape.",Hard
NVR_FA_063,question_63_rotation.png,E,The rule is a rotation. The first shape rotates 90 degrees anti-clockwise to become the second shape. Applying this to the third shape gives the answer.,Easy
NVR_FA_064,question_64_style.png,C,The rule is a change in shading. The white shape becomes solid black.,Medium
NVR_FA_065,question_65_composite.png,D,"The rule is an inversion of position. The outer shape becomes the inner shape, and the inner shape becomes the outer shape.",Hard
NVR_FA_066,question_66_rotation.png,C,The rule is a rotation. The first shape rotates 90 degrees clockwise to become the second shape. Applying this to the third shape gives the answer.,Easy
NVR_FA_067,question_67_style.png,B,The rule is a change in line style. The solid outline changes to a dashed outline.,Medium
NVR_FA_068,question_68_composite.png,A,"The rule is an inversion of position. The outer shape becomes the inner shape, and the inner shape becomes the outer shape.",Hard
NVR_FA_069,question_69_rotation.png,C,The rule is a rotation. The first shape rotates 90 degrees clockwise to become the second shape. Applying this to the third shape gives the answer.,Easy
NVR_FA_070,question_70_style.png,C,The rule is a change in line style. The solid outline changes to a dashed outline.,Medium
NVR_FA_071,question_71_composite.png,E,"The rule is an inversion of position. The outer shape becomes the inner shape, and the inner shape becomes the outer shape.",Hard
NVR_FA_072,question_72_rotation.png,B,The rule is a rotation. The first shape rotates 90 degrees clockwise to become the second shape. Applying this to the third shape gives the answer.,Easy
NVR_FA_073,question_73_style.png,D,The rule is a change in line style. The solid outline changes to a dashed outline.,Medium
NVR_FA_074,question_74_composite.png,C,"The rule is an inversion of position. The outer shape becomes the inner shape, and the inner shape becomes the outer shape.",Hard
NVR_FA_075,question_75_rotation.png,E,The rule is a rotation. The first shape rotates 180 degrees to become the second shape. Applying this to the third shape gives the answer.,Easy
NVR_FA_076,question_76_style.png,E,The rule is a change in shading. The white shape becomes solid black.,Medium
NVR_FA_077,question_77_composite.png,A,"The rule is an inversion of position. The outer shape becomes the inner shape, and the inner shape becomes the outer shape.",Hard
NVR_FA_078,question_78_rotation.png,B,The rule is a rotation. The first shape rotates 180 degrees to become the second shape. Applying this to the third shape gives the answer.,Easy
NVR_FA_079,question_79_style.png,A,The rule is a change in line style. The solid outline changes to a dashed outline.,Medium
NVR_FA_080,question_80_composite.png,D,"The rule is an inversion of position. The outer shape becomes the inner shape, and the inner shape becomes the outer shape.",Hard
NVR_FA_081,question_81_rotation.png,D,The rule is a rotation. The first shape rotates 90 degrees anti-clockwise to become the second shape. Applying this to the third shape gives the answer.,Easy
NVR_FA_082,question_82_style.png,C,The rule is a change in shading. The white shape becomes solid black.,Medium
NVR_FA_083,question_83_composite.png,B,"The rule is an inversion of position. The outer shape becomes the inner shape, and the inner shape becomes the outer shape.",Hard
NVR_FA_084,question_84_rotation.png,B,The rule is a rotation. The first shape rotates 180 degrees to become the second shape. Applying this to the third shape gives the answer.,Easy
NVR_FA_085,question_85_style.png,D,The rule is a change in shading. The white shape becomes solid black.,Medium
NVR_FA_086,question_86_composite.png,A,"The rule is an inversion of position. The outer shape becomes the inner shape, and the inner shape becomes the outer shape.",Hard
NVR_FA_087,question_87_rotation.png,E,The rule is a rotation. The first shape rotates 90 degrees anti-clockwise to become the second shape. Applying this to the third shape gives the answer.,Easy
NVR_FA_088,question_88_style.png,A,The rule is a change in line style. The solid outline changes to a dashed outline.,Medium
NVR_FA_089,question_89_composite.png,A,"The rule is an inversion of position. The outer shape becomes the inner shape, and the inner shape becomes the outer shape.",Hard
NVR_FA_090,question_90_rotation.png,A,The rule is a rotation. The first shape rotates 180 degrees to become the second shape. Applying this to the third shape gives the answer.,Easy
NVR_FA_091,question_91_style.png,E,The rule is a change in shading. The white shape becomes solid black.,Medium
NVR_FA_092,question_92_composite.png,B,"The rule is an inversion of position. The outer shape becomes the inner shape, and the inner shape becomes the outer shape.",Hard
NVR_FA_093,question_93_rotation.png,E,The rule is a rotation. The first shape rotates 180 degrees to become the second shape. Applying this to the third shape gives the answer.,Easy
NVR_FA_094,question_94_style.png,B,The rule is a change in line style. The solid outline changes to a dashed outline.,Medium
NVR_FA_095,question_95_composite.png,D,"The rule is an inversion of position. The outer shape becomes the inner shape, and the inner shape becomes the outer shape.",Hard
NVR_FA_096,question_96_rotation.png,C,The rule is a rotation. The first shape rotates 90 degrees clockwise to become the second shape. Applying this to the third shape gives the answer.,Easy
NVR_FA_097,question_97_style.png,A,The rule is a change in shading. The white shape becomes solid black.,Medium
NVR_FA_098,question_98_composite.png,D,"The rule is an inversion of position. The outer shape becomes the inner shape, and the inner shape becomes the outer shape.",Hard
NVR_FA_099,question_99_rotation.png,E,The rule is a rotation. The first shape rotates 90 degrees clockwise to become the second shape. Applying this to the third shape gives the answer.,Easy
NVR_FA_100,question_100_style.png,A,The rule is a change in line style. The solid outline changes to a dashed outline.,Medium
NVR_FA_101,question_101_composite.png,D,"The rule is an inversion of position. The outer shape becomes the inner shape, and the inner shape becomes the outer shape.",Hard
NVR_FA_102,question_102_rotation.png,E,The rule is a rotation. The first shape rotates 90 degrees clockwise to become the second shape. Applying this to the third shape gives the answer.,Easy
NVR_FA_103,question_103_style.png,A,The rule is a change in line style. The solid outline changes to a dashed outline.,Medium
NVR_FA_104,question_104_composite.png,A,"The rule is an inversion of position. The outer shape becomes the inner shape, and the inner shape becomes the outer shape.",Hard
NVR_FA_105,question_105_rotation.png,D,The rule is a rotation. The first shape rotates 90 degrees clockwise to become the second shape. Applying this to the third shape gives the answer.,Easy
NVR_FA_106,question_106_style.png,B,The rule is a change in line style. The solid outline changes to a dashed outline.,Medium
NVR_FA_107,question_107_composite.png,A,"The rule is an inversion of position. The outer shape becomes the inner shape, and the inner shape becomes the outer shape.",Hard
NVR_FA_108,question_108_rotation.png,E,The rule is a rotation. The first shape rotates 90 degrees clockwise to become the second shape. Applying this to the third shape gives the answer.,Easy
NVR_FA_109,question_109_style.png,E,The rule is a change in shading. The white shape becomes solid black.,Medium
NVR_FA_110,question_110_composite.png,A,"The rule is an inversion of position. The outer shape becomes the inner shape, and the inner shape becomes the outer shape.",Hard
NVR_FA_111,question_111_rotation.png,D,The rule is a rotation. The first shape rotates 90 degrees anti-clockwise to become the second shape. Applying this to the third shape gives the answer.,Easy
NVR_FA_112,question_112_style.png,E,The rule is a change in shading. The white shape becomes solid black.,Medium
NVR_FA_113,question_113_composite.png,D,"The rule is an inversion of position. The outer shape becomes the inner shape, and the inner shape becomes the outer shape.",Hard
NVR_FA_114,question_114_rotation.png,C,The rule is a rotation. The first shape rotates 90 degrees anti-clockwise to become the second shape. Applying this to the third shape gives the answer.,Easy
NVR_FA_115,question_115_style.png,E,The rule is a change in shading. The white shape becomes solid black.,Medium
NVR_FA_116,question_116_composite.png,E,"The rule is an inversion of position. The outer shape becomes the inner shape, and the inner shape becomes the outer shape.",Hard
NVR_FA_117,question_117_rotation.png,A,The rule is a rotation. The first shape rotates 180 degrees to become the second shape. Applying this to the third shape gives the answer.,Easy
NVR_FA_118,question_118_style.png,D,The rule is a change in shading. The white shape becomes solid black.,Medium
NVR_FA_119,question_119_composite.png,A,"The rule is an inversion of position. The outer shape becomes the inner shape, and the inner shape becomes the outer shape.",Hard
NVR_FA_120,question_120_rotation.png,A,The rule is a rotation. The first shape rotates 90 degrees clockwise to become the second shape. Applying this to the third shape gives the answer.,Easy
NVR_FA_121,question_121_style.png,E,The rule is a change in shading. The white shape becomes solid black.,Medium
NVR_FA_122,question_122_composite.png,B,"The rule is an inversion of position. The outer shape becomes the inner shape, and the inner shape becomes the outer shape.",Hard
NVR_FA_123,question_123_rotation.png,D,The rule is a rotation. The first shape rotates 90 degrees anti-clockwise to become the second shape. Applying this to the third shape gives the answer.,Easy
NVR_FA_124,question_124_style.png,B,The rule is a change in line style. The solid outline changes to a dashed outline.,Medium
NVR_FA_125,question_125_composite.png,A,"The rule is an inversion of position. The outer shape becomes the inner shape, and the inner shape becomes the outer shape.",Hard
NVR_FA_126,question_126_rotation.png,D,The rule is a rotation. The first shape rotates 180 degrees to become the second shape. Applying this to the third shape gives the answer.,Easy
NVR_FA_127,question_127_style.png,B,The rule is a change in line style. The solid outline changes to a dashed outline.,Medium
NVR_FA_128,question_128_composite.png,E,"The rule is an inversion of position. The outer shape becomes the inner shape, and the inner shape becomes the outer shape.",Hard
NVR_FA_129,question_129_rotation.png,B,The rule is a rotation. The first shape rotates 90 degrees clockwise to become the second shape. Applying this to the third shape gives the answer.,Easy
NVR_FA_130,question_130_style.png,E,The rule is a change in line style. The solid outline changes to a dashed outline.,Medium
NVR_FA_131,question_131_composite.png,C,"The rule is an inversion of position. The outer shape becomes the inner shape, and the inner shape becomes the outer shape.",Hard
NVR_FA_132,question_132_rotation.png,B,The rule is a rotation. The first shape rotates 90 degrees anti-clockwise to become the second shape. Applying this to the third shape gives the answer.,Easy
NVR_FA_133,question_133_style.png,A,The rule is a change in line style. The solid outline changes to a dashed outline.,Medium
NVR_FA_134,question_134_composite.png,B,"The rule is an inversion of position. The outer shape becomes the inner shape, and the inner shape becomes the outer shape.",Hard
NVR_FA_135,question_135_rotation.png,D,The rule is a rotation. The first shape rotates 180 degrees to become the second shape. Applying this to the third shape gives the answer.,Easy
NVR_FA_136,question_136_style.png,A,The rule is a change in line style. The solid outline changes to a dashed outline.,Medium
NVR_FA_137,question_137_composite.png,C,"The rule is an inversion of position. The outer shape becomes the inner shape, and the inner shape becomes the outer shape.",Hard
NVR_FA_138,question_138_rotation.png,A,The rule is a rotation. The first shape rotates 180 degrees to become the second shape. Applying this to the third shape gives the answer.,Easy
NVR_FA_139,question_139_style.png,A,The rule is a change in line style. The solid outline changes to a dashed outline.,Medium
NVR_FA_140,question_140_composite.png,C,"The rule is an inversion of position. The outer shape becomes the inner shape, and the inner shape becomes the outer shape.",Hard
NVR_FA_141,question_141_rotation.png,E,The rule is a rotation. The first shape rotates 90 degrees clockwise to become the second shape. Applying this to the third shape gives the answer.,Easy
NVR_FA_142,question_142_style.png,D,The rule is a change in line style. The solid outline changes to a dashed outline.,Medium
NVR_FA_143,question_143_composite.png,A,"The rule is an inversion of position. The outer shape becomes the inner shape, and the inner shape becomes the outer shape.",Hard
NVR_FA_144,question_144_rotation.png,E,The rule is a rotation. The first shape rotates 90 degrees anti-clockwise to become the second shape. Applying this to the third shape gives the answer.,Easy
NVR_FA_145,question_145_style.png,A,The rule is a change in line style. The solid outline changes to a dashed outline.,Medium
NVR_FA_146,question_146_composite.png,D,"The rule is an inversion of position. The outer shape becomes the inner shape, and the inner shape becomes the outer shape.",Hard
NVR_FA_147,question_147_rotation.png,A,The rule is a rotation. The first shape rotates 180 degrees to become the second shape. Applying this to the third shape gives the answer.,Easy
NVR_FA_148,question_148_style.png,A,The rule is a change in shading. The white shape becomes solid black.,Medium
NVR_FA_149,question_149_composite.png,A,"The rule is an inversion of position. The outer shape becomes the inner shape, and the inner shape becomes the outer shape.",Hard
NVR_FA_150,question_150_rotation.png,D,The rule is a rotation. The first shape rotates 90 degrees clockwise to become the second shape. Applying this to the third shape gives the answer.,Easy
NVR_FA_151,question_151_style.png,E,The rule is a change in shading. The white shape becomes solid black.,Medium
NVR_FA_152,question_152_composite.png,C,"The rule is an inversion of position. The outer shape becomes the inner shape, and the inner shape becomes the outer shape.",Hard
NVR_FA_153,question_153_rotation.png,D,The rule is a rotation. The first shape rotates 90 degrees clockwise to become the second shape. Applying this to the third shape gives the answer.,Easy
NVR_FA_154,question_154_style.png,E,The rule is a change in shading. The white shape becomes solid black.,Medium
NVR_FA_155,question_155_composite.png,E,"The rule is an inversion of position. The outer shape becomes the inner shape, and the inner shape becomes the outer shape.",Hard
NVR_FA_156,question_156_rotation.png,E,The rule is a rotation. The first shape rotates 90 degrees clockwise to become the second shape. Applying this to the third shape gives the answer.,Easy
NVR_FA_157,question_157_style.png,E,The rule is a change in shading. The white shape becomes solid black.,Medium
NVR_FA_158,question_158_composite.png,B,"The rule is an inversion of position. The outer shape becomes the inner shape, and the inner shape becomes the outer shape.",Hard
NVR_FA_159,question_159_rotation.png,E,The rule is a rotation. The first shape rotates 90 degrees clockwise to become the second shape. Applying this to the third shape gives the answer.,Easy
NVR_FA_160,question_160_style.png,C,The rule is a change in shading. The white shape becomes solid black.,Medium
NVR_FA_161,question_161_composite.png,E,"The rule is an inversion of position. The outer shape becomes the inner shape, and the inner shape becomes the outer shape.",Hard
NVR_FA_162,question_162_rotation.png,A,The rule is a rotation. The first shape rotates 90 degrees anti-clockwise to become the second shape. Applying this to the third shape gives the answer.,Easy
NVR_FA_163,question_163_style.png,C,The rule is a change in line style. The solid outline changes to a dashed outline.,Medium
NVR_FA_164,question_164_composite.png,B,"The rule is an inversion of position. The outer shape becomes the inner shape, and the inner shape becomes the outer shape.",Hard
NVR_FA_165,question_165_rotation.png,C,The rule is a rotation. The first shape rotates 90 degrees anti-clockwise to become the second shape. Applying this to the third shape gives the answer.,Easy
NVR_FA_166,question_166_style.png,D,The rule is a change in shading. The white shape becomes solid black.,Medium
NVR_FA_167,question_167_composite.png,C,"The rule is an inversion of position. The outer shape becomes the inner shape, and the inner shape becomes the outer shape.",Hard
NVR_FA_168,question_168_rotation.png,D,The rule is a rotation. The first shape rotates 90 degrees anti-clockwise to become the second shape. Applying this to the third shape gives the answer.,Easy
NVR_FA_169,question_169_style.png,E,The rule is a change in line style. The solid outline changes to a dashed outline.,Medium
NVR_FA_170,question_170_composite.png,B,"The rule is an inversion of position. The outer shape becomes the inner shape, and the inner shape becomes the outer shape.",Hard
NVR_FA_171,question_171_rotation.png,E,The rule is a rotation. The first shape rotates 180 degrees to become the second shape. Applying this to the third shape gives the answer.,Easy
NVR_FA_172,question_172_style.png,B,The rule is a change in shading. The white shape becomes solid black.,Medium
NVR_FA_173,question_173_composite.png,E,"The rule is an inversion of position. The outer shape becomes the inner shape, and the inner shape becomes the outer shape.",Hard
NVR_FA_174,question_174_rotation.png,C,The rule is a rotation. The first shape rotates 90 degrees clockwise to become the second shape. Applying this to the third shape gives the answer.,Easy
NVR_FA_175,question_175_style.png,E,The rule is a change in shading. The white shape becomes solid black.,Medium
NVR_FA_176,question_176_composite.png,A,"The rule is an inversion of position. The outer shape becomes the inner shape, and the inner shape becomes the outer shape.",Hard
NVR_FA_177,question_177_rotation.png,A,The rule is a rotation. The first shape rotates 180 degrees to become the second shape. Applying this to the third shape gives the answer.,Easy
NVR_FA_178,question_178_style.png,D,The rule is a change in shading. The white shape becomes solid black.,Medium
NVR_FA_179,question_179_composite.png,B,"The rule is an inversion of position. The outer shape becomes the inner shape, and the inner shape becomes the outer shape.",Hard
NVR_FA_180,question_180_rotation.png,E,The rule is a rotation. The first shape rotates 180 degrees to become the second shape. Applying this to the third shape gives the answer.,Easy
NVR_FA_181,question_181_style.png,B,The rule is a change in line style. The solid outline changes to a dashed outline.,Medium
NVR_FA_182,question_182_composite.png,B,"The rule is an inversion of position. The outer shape becomes the inner shape, and the inner shape becomes the outer shape.",Hard
NVR_FA_183,question_183_rotation.png,B,The rule is a rotation. The first shape rotates 180 degrees to become the second shape. Applying this to the third shape gives the answer.,Easy
NVR_FA_184,question_184_style.png,B,The rule is a change in line style. The solid outline changes to a dashed outline.,Medium
NVR_FA_185,question_185_composite.png,C,"The rule is an inversion of position. The outer shape becomes the inner shape, and the inner shape becomes the outer shape.",Hard
NVR_FA_186,question_186_rotation.png,C,The rule is a rotation. The first shape rotates 180 degrees to become the second shape. Applying this to the third shape gives the answer.,Easy
NVR_FA_187,question_187_style.png,E,The rule is a change in shading. The white shape becomes solid black.,Medium
NVR_FA_188,question_188_composite.png,D,"The rule is an inversion of position. The outer shape becomes the inner shape, and the inner shape becomes the outer shape.",Hard
NVR_FA_189,question_189_rotation.png,E,The rule is a rotation. The first shape rotates 90 degrees clockwise to become the second shape. Applying this to the third shape gives the answer.,Easy
NVR_FA_190,question_190_style.png,D,The rule is a change in line style. The solid outline changes to a dashed outline.,Medium
NVR_FA_191,question_191_composite.png,E,"The rule is an inversion of position. The outer shape becomes the inner shape, and the inner shape becomes the outer shape.",Hard
NVR_FA_192,question_192_rotation.png,B,The rule is a rotation. The first shape rotates 90 degrees anti-clockwise to become the second shape. Applying this to the third shape gives the answer.,Easy
NVR_FA_193,question_193_style.png,B,The rule is a change in shading. The white shape becomes solid black.,Medium
NVR_FA_194,question_194_composite.png,C,"The rule is an inversion of position. The outer shape becomes the inner shape, and the inner shape becomes the outer shape.",Hard
NVR_FA_195,question_195_rotation.png,A,The rule is a rotation. The first shape rotates 90 degrees clockwise to become the second shape. Applying this to the third shape gives the answer.,Easy
NVR_FA_196,question_196_style.png,C,The rule is a change in line style. The solid outline changes to a dashed outline.,Medium
NVR_FA_197,question_197_composite.png,C,"The rule is an inversion of position. The outer shape becomes the inner shape, and the inner shape becomes the outer shape.",Hard
NVR_FA_198,question_198_rotation.png,C,The rule is a rotation. The first shape rotates 90 degrees clockwise to become the second shape. Applying this to the third shape gives the answer.,Easy
NVR_FA_199,question_199_style.png,D,The rule is a change in shading. The white shape becomes solid black.,Medium
NVR_FA_200,question_200_composite.png,C,"The rule is an inversion of position. The outer shape becomes the inner shape, and the inner shape becomes the outer shape.",Hard
NVR_FA_201,q21_var_1.png,C,"The large shape is duplicated 2 times and arranged vertically. The shading changes as follows: Top is Gray, Bottom is Black.",Easy
NVR_FA_202,q21_var_2.png,A,"The large shape is duplicated 3 times and arranged vertically. The shading changes as follows: Top is Black, Middle is White (Dotted), Bottom is White (Dotted).",Easy
NVR_FA_203,q21_var_3.png,A,"The large shape is duplicated 3 times and arranged horizontally. The shading changes as follows: Left is White, Middle is Black, Right is White (Dotted).",Easy
NVR_FA_204,q21_var_4.png,D,"The large shape is duplicated 3 times and arranged vertically. The shading changes as follows: Top is Black, Middle is White (Striped), Bottom is Black.",Easy
NVR_FA_205,q21_var_5.png,D,"The large shape is duplicated 3 times and arranged horizontally. The shading changes as follows: Left is Black, Middle is Black, Right is Gray.",Easy
NVR_FA_206,q21_var_6.png,D,"The large shape is duplicated 2 times and arranged horizontally. The shading changes as follows: Left is Black, Right is White (Striped).",Easy
NVR_FA_207,q21_var_7.png,D,"The large shape is duplicated 2 times and arranged horizontally. The shading changes as follows: Left is Gray, Right is White (Dotted).",Easy
NVR_FA_208,q21_var_8.png,D,"The large shape is duplicated 2 times and arranged vertically. The shading changes as follows: Top is White, Bottom is Gray.",Easy
NVR_FA_209,q21_var_9.png,A,"The large shape is duplicated 3 times and arranged horizontally. The shading changes as follows: Left is Gray, Middle is White (Dotted), Right is Black.",Easy
NVR_FA_210,q21_var_10.png,B,"The large shape is duplicated 3 times and arranged horizontally. The shading changes as follows: Left is White, Middle is Gray, Right is White (Dotted).",Easy
NVR_FA_211,q21_var_11.png,C,"The large shape is duplicated 2 times and arranged vertically. The shading changes as follows: Top is White, Bottom is Black.",Easy
NVR_FA_212,q21_var_12.png,B,"The large shape is duplicated 3 times and arranged horizontally. The shading changes as follows: Left is Gray, Middle is Gray, Right is Black.",Easy
NVR_FA_213,q21_var_13.png,D,"The large shape is duplicated 3 times and arranged vertically. The shading changes as follows: Top is Gray, Middle is White (Dotted), Bottom is White (Dotted).",Easy
NVR_FA_214,q21_var_14.png,D,"The large shape is duplicated 2 times and arranged vertically. The shading changes as follows: Top is Black, Bottom is Gray.",Easy
NVR_FA_215,q21_var_15.png,B,"The large shape is duplicated 3 times and arranged horizontally. The shading changes as follows: Left is Black, Middle is White, Right is White (Dotted).",Easy
NVR_FA_216,q21_var_16.png,E,"The large shape is duplicated 2 times and arranged horizontally. The shading changes as follows: Left is Black, Right is Black.",Easy
NVR_FA_217,q21_var_17.png,C,"The large shape is duplicated 2 times and arranged vertically. The shading changes as follows: Top is Gray, Bottom is White.",Easy
NVR_FA_218,q21_var_18.png,A,"The large shape is duplicated 3 times and arranged vertically. The shading changes as follows: Top is Gray, Middle is Gray, Bottom is Gray.",Easy
NVR_FA_220,q21_var_20.png,B,"The large shape is duplicated 3 times and arranged vertically. The shading changes as follows: Top is Gray, Middle is Gray, Bottom is Black.",Easy
